candidate,feature,label
McLean Virginia USA Ian Davidson Goutam Paul Locating,"0.0,1.0,2.65,0.4208914041519165,1.5718674659729004,1.3965208530426025",1
Find Neighbor Nodes Set LRB RRB,"0.0,1.0,1.55,0.4651683270931244,1.6540215015411377,0.9275467395782471",1
nodes L Number,"0.0,1.0,0.7,1.086378574371338,-2.8155906200408936,4.082817077636719",0
explosive growth,"0.0,1.0,0.8,-0.4102405309677124,0.10812791436910629,0.14058078825473785",0
RRB Station Location,"0.0,1.0,1.0,0.8044577240943909,-4.7032856941223145,5.279001235961914",0
performance comparisons,"0.0,1.0,1.15,-4.033618450164795,-4.286164283752441,3.6650266647338867",0
Neighbors Zord LRB,"0.0,1.0,0.9,0.46815264225006104,1.1064727306365967,0.8501748442649841",0
fixed cardinality neighborhood,"0.0,1.0,1.5,0.2581977844238281,0.05129782482981682,1.7444692850112915",0
ROD procedure,"0.0,1.0,0.65,0.5552144050598145,-0.4985499382019043,0.8842102289199829",0
Experimental Layout,"0.0,1.0,0.95,-0.2461894005537033,-0.6046521067619324,0.6848369836807251",0
difference value distribution,"0.0,1.0,1.45,-0.2007066011428833,2.0814521312713623,0.9209318161010742",0
NNS,"0.0,1.0,0.15,-0.00914981309324503,-0.17135007679462433,0.3767378628253937",0
Spatial Neighborhood,"0.0,1.0,1.0,5.810521125793457,0.8405635356903076,6.283848762512207",0
Outlier Figure,"0.0,1.0,0.7,-3.7253623008728027,0.6671991348266602,3.9785866737365723",0
hundred stations,"0.0,1.0,0.8,0.12117081880569458,-1.2072519063949585,1.2702929973602295",0
Cost Analysis,"0.0,1.0,0.65,3.7156426906585693,5.287026405334473,7.785454273223877",0
Traffic Management Center LRB TMC RRB Freeway Operations group,"0.0,1.0,3.1,-3.0333454608917236,-0.7928580045700073,2.0460562705993652",1
operation Find Neighbor Nodes Set LRB RRB,"0.0,1.0,2.05,0.630619466304779,1.0272094011306763,1.1244146823883057",1
various reasons First,"0.0,1.0,1.05,-0.021090149879455566,-0.4819263517856598,0.6131546497344971",0
Data Mining,"0.0,1.0,0.55,1.3693102598190308,6.2244462966918945,3.107664108276367",0
spatial neighbors,"0.0,1.0,0.85,5.170670032501221,3.1612000465393066,5.461987018585205",0
paged secondary memory,"0.0,1.0,1.1,-1.72174072265625,-3.640761613845825,3.2121589183807373",0
experimental results,"0.0,1.0,1.0,1.4639259576797485,-1.453505277633667,2.315211534500122",0
RRB dependency detection LRB,"0.0,1.0,1.4,-5.074904441833496,2.3888742923736572,1.8899532556533813",1
outliers Figure,"0.0,1.0,0.75,6.333728313446045,0.27492785453796387,6.987388610839844",0
data mining August,"0.0,1.0,0.9,1.2856003046035767,3.7924792766571045,2.6443560123443604",0
statistical analysis Computing depth contours,"0.0,1.0,2.25,0.49711066484451294,1.996059775352478,3.3281631469726562",1
detail Spatial data sets,"0.0,1.0,1.2,3.0784690380096436,4.21869421005249,4.0340046882629395",1
ID,"0.0,1.0,0.1,0.08370529860258102,-0.42547571659088135,0.04432731494307518",1
Route Outlier Detection LRB ROD RRB algorithm,"0.0,1.0,2.25,-2.3647162914276123,2.614898920059204,3.3122284412384033",1
Test Parameters Computation LRB TPC RRB Algorithm,"0.0,1.0,2.45,1.5904276371002197,-0.7503106594085693,4.947238445281982",1
topological relationship,"0.0,1.0,1.2,-0.18155543506145477,-0.21091163158416748,0.00834720954298973",0
Buffer Conclusions,"0.0,1.0,0.9,-0.9266723394393921,-2.2534284591674805,1.8689167499542236",0
TPC,"0.0,1.0,0.15,0.25454169511795044,0.3842550814151764,0.01734747365117073",1
average volume values,"0.0,1.0,1.05,-2.2627780437469482,4.395393371582031,3.345738172531128",0
threshold Proceedings,"0.0,1.0,1.05,-3.2024598121643066,5.047989845275879,2.1583099365234375",0
approach design,"0.0,1.0,0.75,3.4925899505615234,2.2402684688568115,3.755189895629883",0
auxiliary secondary index,"0.0,1.0,1.25,0.4898239076137543,0.3188267946243286,0.6438782811164856",0
extra IO Additional data page accesses,"0.0,1.0,1.9,0.23471805453300476,1.8090064525604248,2.4900715351104736",1
DB,"0.0,1.0,0.1,0.17044083774089813,-0.19619649648666382,0.5256745219230652",0
LRU buffering strategy Figure,"0.0,1.0,1.45,-0.6201983094215393,-0.09013998508453369,1.7586259841918945",1
data file,"0.0,1.0,0.45,-0.28430986404418945,3.173518657684326,4.785943984985352",0
geographic information systems November,"0.0,1.0,1.95,3.141648769378662,-0.23071393370628357,3.218388080596924",1
downtown Saint Paul,"0.0,1.0,0.95,-0.8352007865905762,0.06301447749137878,0.6418579816818237",0
regional outliers,"0.0,1.0,0.85,4.878839492797852,1.9126555919647217,4.796546459197998",0
actual IO cost,"0.0,1.0,0.7,-1.4824174642562866,6.354362964630127,3.0243022441864014",0
memory buffers,"0.0,1.0,0.7,-7.718417167663574,-8.54924488067627,7.234907627105713",0
graph connectivity Many,"0.0,1.0,1.15,1.7599226236343384,0.18946675956249237,1.9169241189956665",0
Confidence level,"0.0,1.0,0.8,-0.9447803497314453,0.9813235402107239,0.28511157631874084",0
different iterations,"0.0,1.0,1.0,0.36847078800201416,1.0019733905792236,0.6864626407623291",0
Neighbor Density,"0.0,1.0,0.8,-0.015292242169380188,0.6004006266593933,0.6422204971313477",0
CRR value fi,"0.0,1.0,0.6,0.29274746775627136,0.39402663707733154,0.3441139757633209",0
particular station Detector,"0.0,1.0,1.35,0.28664371371269226,-3.908036947250366,3.634016990661621",0
RNV,"0.0,1.0,0.15,0.24310466647148132,-0.2801923155784607,0.285523384809494",1
Minnesota Dept,"0.0,1.0,0.7,0.16153371334075928,0.5750417113304138,0.46057698130607605",0
secret messages,"0.0,1.0,0.75,0.2626659870147705,0.004884630441665649,0.6646945476531982",0
NCI,"0.0,1.0,0.15,0.42189282178878784,-0.22370962798595428,0.40793654322624207",0
knowledge rules constraints regularities,"0.0,1.0,2.0,0.33584511280059814,0.12098134309053421,0.9574516415596008",1
neighboring stations,"0.0,1.0,1.0,0.07124700397253036,-1.5150450468063354,1.0967345237731934",0
cell tree,"0.0,1.0,0.45,-4.623253345489502,5.6924543380737305,2.12441349029541",0
CRR values,"0.0,1.0,0.5,2.5918025970458984,4.175253868103027,3.1657752990722656",0
large datasets TR Computational geometry,"0.0,1.0,2.0,-1.1023001670837402,-0.7149623036384583,1.0644367933273315",1
Twin Cities traffic archival,"0.0,1.0,1.4,-3.5456669330596924,1.7179001569747925,1.3641026020050049",1
useful information,"0.0,1.0,0.9,3.24658203125,0.4711590111255646,3.535706043243408",0
attribute value Statistical distribution,"0.0,1.0,2.0,0.4144051671028137,5.182316780090332,2.7410175800323486",1
mean variance,"0.0,1.0,0.65,2.9528536796569824,3.2885043621063232,5.250056266784668",0
redundant IO Additional data page accesses,"0.0,1.0,2.1,0.3759203553199768,2.004159450531006,2.6508853435516357",1
Zorder Zorder LSB,"0.0,1.0,0.85,0.0,0.0,0.0",0
TMC,"0.0,1.0,0.15,0.3469700813293457,-0.1273331344127655,0.34271782636642456",0
different numbers,"0.0,1.0,0.85,0.7928071022033691,-1.3296583890914917,2.8594236373901367",0
relative performance,"0.0,1.0,1.0,-4.3191986083984375,-3.9851670265197754,3.2691078186035156",0
experimental observation,"0.0,1.0,1.2,0.34740835428237915,-0.3361406624317169,0.7272645235061646",0
Random Node Verification LRB RNV RRB algorithm,"0.0,1.0,2.3,2.60451078414917,3.5678699016571045,3.439943790435791",1
helpful comments,"0.0,1.0,0.8,-3.5962724685668945,-0.27039995789527893,1.5234837532043457",0
LRB b RRB Outlier Station,"0.0,1.0,1.25,-2.3608195781707764,-2.9112625122070312,5.556172847747803",1
SIGKDD,"0.0,1.0,0.3,-0.08277200162410736,-0.12725259363651276,-0.07703740149736404",0
Q4,"0.0,1.0,0.1,-4.400792121887207,-3.2504091262817383,2.947453498840332",0
discovered outliers,"0.0,1.0,0.95,4.780488014221191,1.9160795211791992,5.00508975982666",0
Seattle WA USA Jeffrey Xu Yu Weining Qian Hongjun Lu Aoying Zhou Finding,"0.0,1.0,3.6,0.21093423664569855,0.9959075450897217,1.3659716844558716",1
Professor Vipin Kumar,"0.0,1.0,1.05,0.4531004726886749,1.3938332796096802,1.3773999214172363",0
temporal neighborhood,"0.0,1.0,1.05,-3.938642978668213,-3.6775431632995605,4.255145072937012",0
attribute data,"0.0,1.0,0.7,3.4135947227478027,9.86878776550293,5.830742835998535",0
volume values,"0.0,1.0,0.65,-2.8458199501037598,6.388988971710205,4.874233245849609",0
Testing Statistical Assumption,"0.0,1.0,1.5,-1.3086395263671875,3.2425620555877686,1.0721091032028198",0
R Optics,"0.0,1.0,0.4,-0.2865147590637207,1.5118530988693237,0.45541995763778687",0
topological space,"0.0,1.0,0.85,-1.1715953350067139,-0.116574227809906,0.4586865305900574",0
multiple attributes,"0.0,1.0,0.95,-0.22566236555576324,-0.2702941298484802,0.47104889154434204",0
TPC RN,"0.0,1.0,0.3,0.19275334477424622,0.20098242163658142,-0.003233238123357296",0
LRB Page size,"0.0,1.0,0.65,-1.0021264553070068,5.8152265548706055,2.177849292755127",0
dense regions,"0.0,1.0,0.65,-0.820234477519989,0.09997203946113586,0.3002265691757202",0
international conference,"0.0,1.0,1.2,-12.181060791015625,5.916826248168945,3.9514336585998535",0
neighbor list,"0.0,1.0,0.65,0.1718950718641281,0.7079787254333496,0.5038703680038452",0
RRB neighborhood depth increases,"0.0,1.0,1.6,0.6113470792770386,-0.9675758481025696,1.4197252988815308",1
neighbor stations,"0.0,1.0,0.85,0.2870664596557617,-0.805648922920227,1.5854742527008057",0
Hui Xiong,"0.0,1.0,0.45,-0.899838924407959,0.9216047525405884,1.0271917581558228",0
Hilbert ordering,"0.0,1.0,0.8,0.12796103954315186,-0.48878052830696106,0.4976937770843506",0
alternative clustering methods,"0.0,1.0,1.5,-0.5460541844367981,0.14527221024036407,0.41305580735206604",0
credit card fraud,"0.0,1.0,0.85,-0.15359972417354584,0.42808690667152405,0.25537607073783875",0
Connectivity Residue Ratio LRB CRR RRB measure,"0.0,1.0,2.3,-0.7246004343032837,-2.061232328414917,2.1154401302337646",1
official endorsement,"0.0,1.0,1.0,-0.1705031394958496,0.05157461762428284,0.7311888933181763",0
locations Temporal Neighborhood SpatialTemporal Neighborhood Time Space Legend Neighbors Spatial Temporal Neighbors Additional Neighbors,"0.0,1.0,6.8,-0.16022011637687683,-1.067273497581482,3.3170089721679688",1
fast algorithm,"0.0,1.0,0.7,4.581048011779785,1.6444629430770874,4.660281181335449",0
spatial neighborhood,"0.0,1.0,1.0,5.810521125793457,0.8405635356903076,6.283848762512207",0
NSF,"0.0,1.0,0.15,-7.81385612487793,4.970963954925537,2.7063660621643066",0
Problem Formulation,"0.0,1.0,0.95,0.952887773513794,5.026206970214844,2.6023788452148438",0
loop detectors,"0.0,1.0,0.7,-1.8046319484710693,-0.7529913187026978,1.0224238634109497",0
secondary indices,"0.0,1.0,0.85,-0.028783529996871948,0.06292679160833359,0.5229089260101318",0
multidimensional Euclidean space,"0.0,1.0,1.6,-0.7276365756988525,-0.13915924727916718,0.5671348571777344",0
data distribution,"0.0,1.0,0.85,0.7381528615951538,8.078285217285156,3.7251040935516357",0
I94,"0.0,1.0,0.15,0.0,0.0,0.0",0
volume distribution,"0.0,1.0,0.95,-5.770658016204834,4.740942001342773,2.636173963546753",0
average ff neighbors,"0.0,1.0,1.0,0.6923760771751404,0.15233628451824188,1.69809091091156",0
Data Structures,"0.0,1.0,0.75,1.261390209197998,6.122438430786133,3.048358678817749",0
TwinCities traffic data,"0.0,1.0,1.15,-4.13094425201416,8.01521110534668,4.568047046661377",0
test test,"0.0,1.0,0.45,6.186903953552246,-9.197093963623047,11.186749458312988",0
Illustrative Application Domain Traffic Data Set,"0.0,1.0,2.4,-1.6415996551513672,2.9569571018218994,2.0704495906829834",1
data set L,"0.0,1.0,0.5,1.1513270139694214,4.270918369293213,2.5226681232452393",0
graph structure G,"0.0,1.0,0.85,1.3685625791549683,1.4555450677871704,1.4538387060165405",0
normal probability plot,"0.0,1.0,1.15,-0.37288156151771545,1.9035876989364624,1.0106366872787476",0
significant portion,"0.0,1.0,0.95,-3.0004520416259766,-2.628018617630005,2.3677117824554443",0
application domain,"0.0,1.0,0.9,-1.0720279216766357,-0.2181764394044876,0.9949322938919067",0
OPTICS,"0.0,1.0,0.3,0.1842852383852005,-0.26335883140563965,-0.27065661549568176",0
LRB x RRB,"0.0,1.0,0.45,1.2657346725463867,-1.2685763835906982,1.864808440208435",0
Cost Modeling,"0.0,1.0,0.65,-1.3132143020629883,6.579063892364502,2.525843381881714",0
standard distribution,"0.0,1.0,1.05,-1.3349577188491821,3.4641945362091064,1.433096170425415",0
multidimensional method,"0.0,1.0,1.15,0.11148066818714142,-0.5451557636260986,0.9369337558746338",0
average number,"0.0,1.0,0.7,0.3106844425201416,-5.220023155212402,5.033679962158203",0
data access,"0.0,1.0,0.55,0.7163145542144775,4.945632457733154,3.318861484527588",0
page Neighborhood Depth Zord LRB b RRB Neighborhood Depth Figure,"0.0,1.0,3.2,1.210108757019043,-1.00143301486969,2.1657185554504395",1
average attribute values neighbors,"0.0,1.0,1.7,2.2774503231048584,4.911955833435059,3.4617767333984375",1
IO cost,"0.0,1.0,0.35,-2.413984775543213,12.404447555541992,4.859396934509277",0
statistical distribution,"0.0,1.0,1.2,-1.7705327272415161,5.522045135498047,2.002142906188965",0
Databases Computatinal Geometry,"0.0,1.0,1.55,0.2447434663772583,0.49853014945983887,0.38718917965888977",0
attribute f,"0.0,1.0,0.55,2.7591285705566406,4.469135761260986,3.4862966537475586",0
RNV procedure,"0.0,1.0,0.65,0.5952005982398987,-0.521304190158844,0.894967794418335",0
computation time Constraints,"0.0,1.0,1.4,-1.0967520475387573,-0.9123401641845703,3.5982131958007812",0
DAAH0495C0008,"0.0,1.0,0.65,0.0,0.0,0.0",0
single attribute Outlier detection,"0.0,1.0,1.7,-3.988584041595459,4.701449871063232,3.4329419136047363",1
Transportation LRB USDOT RRB Data Mining tasks,"0.0,1.0,2.3,0.4364900588989258,1.6429824829101562,2.0269808769226074",1
cost model CCAM,"0.0,1.0,0.75,-1.1892024278640747,4.695592403411865,1.9105228185653687",0
usefulness B Introduction Data mining,"0.0,1.0,1.85,0.8943122625350952,1.6587822437286377,2.4419760704040527",1
many graphs,"0.0,1.0,0.55,0.8207910060882568,-0.8790492415428162,1.1645792722702026",0
Stations LRB,"0.0,1.0,0.6,0.21983611583709717,-2.8313839435577393,2.435337543487549",0
NorthSouth direction Downtown Minneapolis,"0.0,1.0,2.05,-1.7787553071975708,-1.3213698863983154,1.4393020868301392",1
BSP LRB Binary Space Partitioning RRB,"0.0,1.0,1.85,-2.096437454223633,3.036154270172119,1.5266774892807007",1
convex hull,"0.0,1.0,0.55,-3.0446743965148926,-1.0717674493789673,1.6268326044082642",0
general framework,"0.0,1.0,0.85,-1.6651171445846558,-0.5040411353111267,0.8937877416610718",0
overall performance Acknowledgment,"0.0,1.0,1.7,-3.0357754230499268,-2.9249725341796875,2.50408673286438",0
large databases,"0.0,1.0,0.75,0.17178313434123993,-0.22717255353927612,1.0297960042953491",0
data record,"0.0,1.0,0.55,1.1683387756347656,6.05056095123291,2.947497844696045",0
north end,"0.0,1.0,0.45,-3.0627148151397705,-1.438149094581604,1.8759928941726685",0
following cost function,"0.0,1.0,1.15,-0.7446060180664062,4.429340839385986,2.300398588180542",0
application Linear Clustering,"0.0,1.0,1.45,-1.5432542562484741,0.1899716705083847,0.5751580595970154",0
IO,"0.0,1.0,0.1,0.0,0.0,0.0",1
NIMA,"0.0,1.0,0.2,0.10012945532798767,-0.3181227743625641,0.286797434091568",0
spatial relationships,"0.0,1.0,1.05,5.043038845062256,1.8646185398101807,4.834743499755859",0
random nodes,"0.0,1.0,0.6,0.8002622127532959,2.782418966293335,1.4276738166809082",0
practical applications,"0.0,1.0,1.1,-1.1503723859786987,0.7423433065414429,0.5949292182922363",0
Paper Scope,"0.0,1.0,0.55,1.0842849016189575,0.2413928359746933,1.7044942378997803",0
occupancy information,"0.0,1.0,1.05,2.800384044647217,-0.44348832964897156,3.122769355773926",0
ff RRB,"0.0,1.0,0.3,2.4724318981170654,-2.619279146194458,3.489745855331421",0
processed data,"0.0,1.0,0.7,1.1215736865997314,5.49815034866333,2.9479405879974365",0
common record type,"0.0,1.0,0.9,0.07584463804960251,0.4968002140522003,0.17496609687805176",0
limitation First,"0.0,1.0,0.8,0.4596540629863739,-0.36359161138534546,0.7943012118339539",0
query operations,"0.0,1.0,0.8,0.11870436370372772,-0.9179835319519043,0.3817261755466461",0
Related Work,"0.0,1.0,0.6,1.0653190612792969,-0.9949462413787842,1.7868552207946777",0
number number,"0.0,1.0,0.65,1.7180627584457397,-10.848249435424805,9.77861213684082",0
CELL,"0.0,1.0,0.2,-0.9179068803787231,1.1444462537765503,0.28609752655029297",1
normal distribution,"0.0,1.0,0.95,-0.7003825902938843,3.8258771896362305,1.4620304107666016",1
attribute function,"0.0,1.0,0.9,2.0040197372436523,4.993257522583008,3.2649896144866943",0
RRB Station,"0.0,1.0,0.55,1.0839166641235352,-10.80182933807373,9.752474784851074",0
Information Systems,"0.0,1.0,0.95,4.926051616668701,-0.530110239982605,5.028170108795166",0
unexpected knowledge,"0.0,1.0,1.0,-0.03511554002761841,0.8900816440582275,0.491851270198822",0
consecutive random,"0.0,1.0,0.9,0.48915964365005493,1.0512540340423584,0.9767459630966187",0
benchmark graph,"0.0,1.0,0.75,1.7583231925964355,4.068246364593506,2.8797218799591064",0
32K,"0.0,1.0,0.15,0.0,0.0,0.0",0
value table,"0.0,1.0,0.55,0.8949332237243652,0.14241963624954224,1.2190556526184082",0
high performance,"0.0,1.0,0.8,-4.027178764343262,-4.248249530792236,3.8008086681365967",0
neighborhood depths,"0.0,1.0,0.95,1.0169122219085693,-0.9201157093048096,1.578554630279541",0
Introduction Efficient algorithms,"0.0,1.0,1.65,-0.058905381709337234,-1.236430048942566,1.1414445638656616",0
AvgDist Set Finally,"0.0,1.0,0.95,0.34701523184776306,0.758317232131958,0.5456724762916565",0
Table Polygon Boundary LRB,"0.0,1.0,1.3,0.45739129185676575,-0.40679851174354553,0.7281959652900696",1
TH77,"0.0,1.0,0.2,0.0,0.0,0.0",0
clustering approach Proceedings,"0.0,1.0,1.55,-0.9499668478965759,0.6019707322120667,1.2411054372787476",0
International Journal v,"0.0,1.0,1.15,-4.202437400817871,2.1732943058013916,1.59604012966156",0
Mapping Agency LRB NIMA RRB,"0.0,1.0,1.35,-0.061663974076509476,0.14211253821849823,0.3308144509792328",1
normal probability distribution,"0.0,1.0,1.55,-0.5409231781959534,3.2195446491241455,1.3437328338623047",0
databases LSB,"0.0,1.0,0.65,0.3309832811355591,1.2218562364578247,0.6096692085266113",0
neighborlist ie,"0.0,1.0,0.75,0.0,0.0,0.0",0
daily basis,"0.0,1.0,0.55,-0.2024828940629959,0.5412915945053101,0.420818567276001",0
attribute value f LRB x RRB,"0.0,1.0,1.35,1.8698804378509521,2.231661796569824,2.4520792961120605",1
data page,"0.0,1.0,0.45,0.828642725944519,7.2353901863098145,3.4769468307495117",1
enormous amounts,"0.0,1.0,0.8,0.2953602969646454,-0.13542169332504272,0.06146829575300217",0
secondary index,"0.0,1.0,0.75,0.7661925554275513,0.5818538665771484,0.9682835340499878",0
disk space,"0.0,1.0,0.5,-1.2973849773406982,-0.17838633060455322,0.8084566593170166",0
traffic flow outliers,"0.0,1.0,1.05,-0.36002254486083984,2.826610565185547,4.216994762420654",0
technical accuracy,"0.0,1.0,0.9,-0.3154568672180176,0.0851590484380722,0.45103204250335693",0
