candidate,feature,label
RRB RRB,"0.0,1.0,0.35,0.0,0.0,0.0",0
statistics value,"0.0,1.0,0.8,0.11940557509660721,0.8157643675804138,0.23312337696552277",0
eg B,"0.0,1.0,0.2,3.5546226501464844,-0.4848255217075348,3.799086093902588",0
Yan Huang,"0.0,1.0,0.45,-3.325732469558716,8.5381441116333,0.500173032283783",0
fast algorithm,"0.0,1.0,0.7,5.43992280960083,2.420607089996338,4.000351905822754",0
data storage,"0.0,1.0,0.6,2.833094835281372,6.087536811828613,1.6551451683044434",0
approach design,"0.0,1.0,0.75,3.621420383453369,0.7353467345237732,3.836249828338623",0
large data sets,"0.0,1.0,0.75,2.188033103942871,4.055588245391846,1.879302978515625",0
Volume Traffic,"0.0,1.0,0.7,-11.199825286865234,2.7466864585876465,3.364429473876953",0
multidimensional attribute space,"0.0,1.0,1.6,0.06656920909881592,4.215047836303711,0.7512694001197815",0
RN,"0.0,1.0,0.1,-0.00557208014652133,-0.13390693068504333,-0.024856368079781532",1
application Linear,"0.0,1.0,0.9,-1.8115577697753906,0.9024488925933838,0.41520869731903076",0
signal processing techniques,"0.0,1.0,1.4,2.865659713745117,1.7254241704940796,2.4721105098724365",0
general categories,"0.0,1.0,0.9,-0.57204669713974,0.9793456196784973,0.37271130084991455",0
Huang Xiaobin,"0.0,1.0,0.65,-1.8820205926895142,5.071943759918213,0.3003268241882324",0
redundant page,"0.0,1.0,0.7,0.026416152715682983,2.4406893253326416,0.33981770277023315",0
neighborhood relationship,"0.0,1.0,1.25,1.3372511863708496,-0.35145312547683716,1.6723712682724",0
traffic dataset,"0.0,1.0,0.75,-5.857800483703613,1.2886637449264526,1.785933256149292",0
spatial statistics,"0.0,1.0,0.9,5.379411220550537,2.5756235122680664,4.124948501586914",0
fixed cardinality neighborhood,"0.0,1.0,1.5,1.0241419076919556,0.9086769223213196,1.6133966445922852",0
random nodes,"0.0,1.0,0.6,1.215444564819336,2.9842543601989746,0.6675217151641846",0
different volumes,"0.0,1.0,0.85,0.6024827361106873,1.3971196413040161,0.3453429341316223",0
new measure,"0.0,1.0,0.55,0.4242193400859833,1.3301670551300049,0.6920143365859985",0
I35W,"0.0,1.0,0.2,0.0,0.0,0.0",0
operational purposes,"0.0,1.0,1.0,-0.1146361380815506,0.07702494412660599,0.7641708850860596",0
IO operations,"0.0,1.0,0.65,0.18633563816547394,-1.0155315399169922,1.6703373193740845",0
RNV RRB,"0.0,1.0,0.35,0.416393518447876,-0.09960006177425385,0.3551955223083496",0
u L,"0.0,1.0,0.15,1.1273231506347656,-0.08853811025619507,1.139472484588623",0
credit card,"0.0,1.0,0.55,-0.3127962052822113,0.3789287209510803,0.028687074780464172",0
LRB RRB,"0.0,1.0,0.35,0.0,0.0,0.0",0
key design decisions,"0.0,1.0,1.0,2.059013605117798,1.2863069772720337,2.096306562423706",0
32K,"0.0,1.0,0.15,0.0,0.0,0.0",0
data structures,"0.0,1.0,0.75,2.910623073577881,6.167945861816406,1.688223958015442",0
networksa summary,"0.0,1.0,0.85,-0.12080355733633041,0.3089889585971832,0.7523084878921509",0
specific station,"0.0,1.0,0.8,-1.2663087844848633,-3.8779025077819824,5.6357831954956055",0
attribute data set,"0.0,1.0,0.9,2.742007255554199,8.374756813049316,1.7952064275741577",0
Volume vs,"0.0,1.0,0.45,-5.593350887298584,1.6231577396392822,1.603547215461731",0
normal distribution Volume,"0.0,1.0,1.3,-4.039336681365967,3.7081050872802734,1.2994204759597778",0
CELL,"0.0,1.0,0.2,-0.3016628623008728,1.467738389968872,0.011189935728907585",1
difference value,"0.0,1.0,0.8,-0.10256828367710114,0.9135444164276123,0.26025688648223877",0
binary representation,"0.0,1.0,1.05,-1.9728178977966309,6.561525344848633,0.27357199788093567",0
traffic detector,"0.0,1.0,0.8,-5.771939754486084,0.9098607897758484,2.311574935913086",0
node verification,"0.0,1.0,0.85,2.851201057434082,6.226249694824219,1.6681221723556519",0
key idea,"0.0,1.0,0.4,-0.3408377766609192,0.9521384239196777,-0.004683826118707657",0
graphical space,"0.0,1.0,0.75,-0.6702151298522949,0.6023595333099365,0.1742936670780182",0
SpatialTemporal Window,"0.0,1.0,1.1,1.196482539176941,-0.5064324140548706,2.447390556335449",0
j NNS,"0.0,1.0,0.25,0.9923757314682007,1.0692970752716064,0.7024993896484375",0
different attribute values,"0.0,1.0,1.3,1.8052526712417603,8.261384010314941,1.414620041847229",0
RRB Normal,"0.0,1.0,0.5,-0.3750784993171692,3.0182600021362305,0.2517392635345459",0
Data mining,"0.0,1.0,0.55,3.047952651977539,6.342843055725098,1.6935861110687256",0
Geometric Databases,"0.0,1.0,0.95,0.43982744216918945,0.3848097622394562,0.09155227243900299",0
normal probability plot,"0.0,1.0,1.15,-0.3122367560863495,1.9782143831253052,0.42141178250312805",0
Outlier Set,"0.0,1.0,0.55,-5.158508777618408,2.3092212677001953,1.997016191482544",0
expected total cost,"0.0,1.0,0.95,-3.8166115283966064,1.1291444301605225,1.302626371383667",0
I3,"0.0,1.0,0.1,0.0,0.0,0.0",0
data file,"0.0,1.0,0.45,-0.07047557830810547,5.041569232940674,3.426302671432495",0
RRB Select,"0.0,1.0,0.5,0.08945261687040329,0.2989107072353363,0.4531594216823578",0
main memory size,"0.0,1.0,0.8,-3.761582374572754,0.7813992500305176,3.6994011402130127",0
meteorological data Information,"0.0,1.0,1.55,2.1116819381713867,2.3603765964508057,3.2908785343170166",0
distancebased outliers,"0.0,1.0,1.1,10.891324043273926,5.191692352294922,8.210761070251465",0
Traffic Volume LRB,"0.0,1.0,0.9,-11.199825286865234,2.7466864585876465,3.364429473876953",0
GIS,"0.0,1.0,0.15,-0.30611586570739746,0.284483402967453,0.5062728524208069",0
MinneapolisSt Paul,"0.0,1.0,0.9,-1.2711418867111206,-0.2966243028640747,1.6081993579864502",0
items Numerous,"0.0,1.0,0.7,0.8067893385887146,1.9934947490692139,0.4545034170150757",0
total number,"0.0,1.0,0.6,1.0397462844848633,-3.200929641723633,6.317240238189697",0
ROD procedure,"0.0,1.0,0.65,0.8858893513679504,0.030054723843932152,0.9296301603317261",0
trunk highways,"0.0,1.0,0.7,-0.4280889332294464,-0.6657258868217468,1.3810133934020996",0
spatial graph CI,"0.0,1.0,0.8,4.611356258392334,2.145320415496826,3.413846731185913",0
Clustering Parameters,"0.0,1.0,1.05,0.3702586591243744,0.5621954798698425,0.6557072401046753",0
vs Time,"0.0,1.0,0.35,3.1421902179718018,-0.17990106344223022,3.3036582469940186",0
RRB class,"0.0,1.0,0.45,0.23061195015907288,-0.13723397254943848,-0.10059371590614319",0
inconsistent traffic flow,"0.0,1.0,1.25,-3.7761614322662354,0.914048969745636,1.0759657621383667",0
infor mation LRB,"0.0,1.0,0.8,-0.07746098935604095,1.171393632888794,0.9672015905380249",0
multidimensional method,"0.0,1.0,1.15,0.4000944495201111,0.09648676216602325,0.7584759593009949",0
images Proceedings,"0.0,1.0,0.9,-4.394344806671143,2.5989251136779785,0.8483443856239319",0
k th,"0.0,1.0,0.2,1.9485834836959839,-0.01625092327594757,2.2320950031280518",0
Verification LRB,"0.0,1.0,0.8,0.29775363206863403,1.0257266759872437,0.11772806197404861",0
average volume value,"0.0,1.0,1.0,-4.066702365875244,1.6276441812515259,1.353306770324707",0
computation time,"0.0,1.0,0.8,-1.0394771099090576,-0.692598283290863,5.4489593505859375",0
basic tables,"0.0,1.0,0.6,0.3761611580848694,0.8499689698219299,0.3498691916465759",0
generalization RRB,"0.0,1.0,0.9,-0.45885616540908813,2.276564836502075,0.6025956869125366",0
Random Node,"0.0,1.0,0.55,3.2240805625915527,6.995631694793701,1.893723964691162",0
Set RRB,"0.0,1.0,0.35,0.8334082365036011,2.4109692573547363,0.4061754643917084",0
freeway system,"0.0,1.0,0.7,-2.023127317428589,-3.936657190322876,6.149335861206055",0
Depth Figure,"0.0,1.0,0.6,2.590597629547119,-0.14174777269363403,2.86708664894104",0
OPTICSOF,"0.0,1.0,0.4,0.0,0.0,0.0",0
TPC RRB,"0.0,1.0,0.35,-0.007662284653633833,0.2513177990913391,-0.28778329491615295",0
Bytes RRB,"0.0,1.0,0.45,-0.21896840631961823,1.1708935499191284,0.06579258292913437",0
experimental comparison,"0.0,1.0,1.15,-0.2518647611141205,-0.745132327079773,1.4469974040985107",0
spatial data set,"0.0,1.0,0.8,5.746351718902588,6.347017288208008,3.941984176635742",0
TCHCG,"0.0,1.0,0.25,0.22050639986991882,0.301296591758728,0.07760176062583923",0
Huang Hui,"0.0,1.0,0.45,-2.657346725463867,4.312751293182373,0.9740968942642212",0
technical accuracy,"0.0,1.0,0.9,0.03513472527265549,0.31146901845932007,0.26788896322250366",0
IO cost,"0.0,1.0,0.35,-11.963608741760254,2.4465818405151367,3.860546112060547",0
return Outlier,"0.0,1.0,0.7,-5.530606746673584,1.1874983310699463,1.980244517326355",0
spatial neighbors,"0.0,1.0,0.85,6.1354594230651855,4.154899597167969,4.443236827850342",0
x RRB,"0.0,1.0,0.25,1.745694637298584,-0.13046318292617798,1.8433704376220703",0
attribute space,"0.0,1.0,0.75,0.0997437834739685,6.189444065093994,1.0705825090408325",0
helpful comments,"0.0,1.0,0.8,-3.625619649887085,0.5952661633491516,1.329751968383789",0
Omega Gamma,"0.0,1.0,0.55,-4.388599395751953,-3.0945725440979004,4.905084609985352",0
confidence measure,"0.0,1.0,0.9,-0.13274827599525452,-0.35421788692474365,0.4156568646430969",0
efficient computation,"0.0,1.0,1.05,-3.8429055213928223,-0.7343882322311401,2.8809707164764404",0
Army High,"0.0,1.0,0.45,0.38286474347114563,0.145589679479599,0.6673711538314819",0
Cell Tree,"0.0,1.0,0.45,-1.9441893100738525,7.171396732330322,0.47619640827178955",0
TH55,"0.0,1.0,0.2,0.0,0.0,0.0",0
spatial neighborhood,"0.0,1.0,1.0,6.699456214904785,2.406386613845825,5.593794822692871",0
spatial outliers Knowledge,"0.0,1.0,1.3,7.430337905883789,3.7925312519073486,5.526031017303467",0
data distribution,"0.0,1.0,0.85,2.470231056213379,8.310083389282227,1.8189572095870972",0
data records,"0.0,1.0,0.6,2.8228554725646973,6.009123802185059,1.6244878768920898",0
clustering structure,"0.0,1.0,1.0,0.20610925555229187,1.3485149145126343,0.4304024577140808",0
Experimental Layout,"0.0,1.0,0.95,-0.3240644931793213,-0.2239767462015152,0.6796563863754272",0
threshold Proceedings,"0.0,1.0,1.05,-0.897601842880249,5.868103981018066,1.1330056190490723",0
Figures LRB,"0.0,1.0,0.55,0.5363890528678894,0.0553077757358551,0.5432805418968201",0
verification Page,"0.0,1.0,0.85,-0.09634765982627869,2.375976085662842,0.2146180272102356",0
actual IO cost,"0.0,1.0,0.7,-6.43474817276001,2.1233363151550293,2.2158310413360596",0
Downtown Minneapolis,"0.0,1.0,1.0,0.11303524672985077,0.3065792918205261,0.4472525715827942",0
station table,"0.0,1.0,0.65,-0.8390793800354004,-3.746046543121338,6.406396865844727",0
Neighborhood Multidimensional,"0.0,1.0,1.45,1.2560441493988037,-0.04235649108886719,1.5586055517196655",0
WA,"0.0,1.0,0.1,-0.15573996305465698,0.21013979613780975,0.4855773150920868",1
practical applications,"0.0,1.0,1.1,-1.3305411338806152,0.8812286853790283,0.40862593054771423",0
fixed cardinality set,"0.0,1.0,1.05,0.4646552503108978,1.8293229341506958,0.7472658157348633",0
secondary indices,"0.0,1.0,0.85,0.021437130868434906,0.3368721902370453,0.42973071336746216",0
TCHCG RRB,"0.0,1.0,0.45,0.22050639986991882,0.301296591758728,0.07760176062583923",0
primary index LRB,"0.0,1.0,0.85,0.624589204788208,0.7533338665962219,0.4673237204551697",0
distribution value,"0.0,1.0,0.9,-0.10555465519428253,3.398925304412842,0.40026605129241943",0
mean variance,"0.0,1.0,0.65,1.9111590385437012,-1.6156456470489502,6.92991828918457",0
SLOM,"0.0,1.0,0.2,0.07604958117008209,0.046651337295770645,0.14528827369213104",0
4K,"0.0,1.0,0.1,0.0,0.0,0.0",0
leaf nodes,"0.0,1.0,0.5,0.8778988122940063,2.0430829524993896,0.527539849281311",0
white line,"0.0,1.0,0.5,-1.041032075881958,0.7864457368850708,0.2376924753189087",0
RRB Number,"0.0,1.0,0.5,1.8165725469589233,-7.3552327156066895,12.520359992980957",0
North Bound,"0.0,1.0,0.55,-5.236111164093018,-1.81321120262146,4.812273979187012",0
Methodologies Artificial,"0.0,1.0,1.2,-0.7343285083770752,0.2309848666191101,0.2679906189441681",0
detector table,"0.0,1.0,0.7,0.5229343771934509,-0.4066736400127411,1.2675838470458984",0
neighbors Figure,"0.0,1.0,0.8,2.9809865951538086,1.317760705947876,2.7561745643615723",0
encompassing detectors,"0.0,1.0,1.1,-0.06716655939817429,-0.34035009145736694,0.3294360637664795",0
SpatialTemporal Neighborhood,"0.0,1.0,1.4,2.5118682384490967,-0.35096874833106995,3.0045676231384277",0
business management,"0.0,1.0,0.95,0.3519827723503113,-0.3072943687438965,1.1516138315200806",0
Test Results,"0.0,1.0,0.6,7.109353542327881,2.42391300201416,6.024724960327148",0
Weining Qian,"0.0,1.0,0.6,-0.11818039417266846,0.7626079320907593,0.6355684995651245",0
spatial location,"0.0,1.0,0.8,5.6969380378723145,3.241239547729492,4.261408805847168",0
LRU,"0.0,1.0,0.15,0.08946266770362854,0.27921321988105774,-0.20752224326133728",0
experimental results,"0.0,1.0,1.0,2.010523557662964,-0.18690559267997742,2.4655117988586426",0
Wavelet Depth,"0.0,1.0,0.65,0.4481172561645508,0.27565979957580566,0.4024431109428406",0
dimensional data set,"0.0,1.0,1.0,2.1366755962371826,4.760272979736328,1.1923660039901733",0
Actual Predicted,"0.0,1.0,0.8,-0.9600167870521545,1.8990509510040283,0.5516313314437866",0
total order,"0.0,1.0,0.55,0.16798681020736694,0.8748272657394409,0.14533883333206177",0
k neighbors,"0.0,1.0,0.55,2.6787314414978027,1.3583569526672363,2.433032512664795",0
detection LSB,"0.0,1.0,0.65,-10.907734870910645,2.5669374465942383,3.328801155090332",0
inner loop,"0.0,1.0,0.5,-0.6780866980552673,1.3972704410552979,0.8796341419219971",0
LRB Twin,"0.0,1.0,0.4,-0.6742051243782043,0.5514617562294006,1.189074993133545",0
Access Method,"0.0,1.0,0.65,-0.24517211318016052,-0.46320685744285583,1.31288743019104",0
Xiong Shashi,"0.0,1.0,0.6,-2.24446964263916,1.4587934017181396,0.8483547568321228",0
Cost Model,"0.0,1.0,0.5,-6.816413402557373,1.3986310958862305,2.187216281890869",1
information LRB,"0.0,1.0,0.75,0.8432218432426453,-4.239151477813721,6.890159606933594",0
cell tree,"0.0,1.0,0.45,-1.9441893100738525,7.171396732330322,0.47619640827178955",0
number number,"0.0,1.0,0.65,1.8165725469589233,-7.3552327156066895,12.520359992980957",0
Jiang Zhao,"0.0,1.0,0.5,-0.3257153630256653,0.5768730044364929,0.870246410369873",0
LRB x,"0.0,1.0,0.25,1.745694637298584,-0.13046318292617798,1.8433704376220703",0
Euclidean space,"0.0,1.0,0.75,-1.0197919607162476,0.6732298731803894,0.27348873019218445",0
detection procedure,"0.0,1.0,0.95,-4.732549667358398,1.3081183433532715,2.453199863433838",0
neighboring stations,"0.0,1.0,1.0,-0.2837661802768707,-0.990403413772583,1.4651693105697632",0
data Sets,"0.0,1.0,0.45,3.1678409576416016,6.732437610626221,1.8399481773376465",1
detection procedures,"0.0,1.0,1.0,-5.715188503265381,1.3783661127090454,1.635240077972412",0
Detector Table,"0.0,1.0,0.7,0.5229343771934509,-0.4066736400127411,1.2675838470458984",0
outlier ffl Check,"0.0,1.0,0.85,-4.0747904777526855,0.6214876770973206,1.3579109907150269",0
Neighborhood Neighborhood,"0.0,1.0,1.25,2.5118682384490967,-0.35096874833106995,3.0045676231384277",0
data record,"0.0,1.0,0.55,2.8857645988464355,6.139523029327393,1.7006635665893555",0
traffic archival,"0.0,1.0,0.8,-5.615584373474121,1.174128532409668,1.638525366783142",0
page Page,"0.0,1.0,0.45,-0.4904489517211914,3.7262253761291504,0.3115079998970032",0
Institute LRB,"0.0,1.0,0.65,-0.0782792940735817,0.2466396689414978,0.3031562864780426",0
following examples Time,"0.0,1.0,1.15,2.401315450668335,-0.2549329102039337,2.791572332382202",0
normal variables,"0.0,1.0,0.8,-0.08757571130990982,1.528661847114563,0.2318446934223175",0
CI,"0.0,1.0,0.1,0.3226030766963959,-0.2002183496952057,0.26502278447151184",1
explosive growth,"0.0,1.0,0.8,-0.5297839641571045,-0.12913751602172852,0.248351588845253",0
AvgDist Dev,"0.0,1.0,0.55,0.11595895141363144,0.12773315608501434,0.0471590980887413",0
hundred stations,"0.0,1.0,0.8,-0.4942205846309662,-0.9868835806846619,1.4551541805267334",0
Table LRB,"0.0,1.0,0.45,1.3548855781555176,-0.09192447364330292,1.3955144882202148",0
Dist jNNSj,"0.0,1.0,0.5,-0.035254836082458496,0.052555151283741,0.38769418001174927",0
page accesses,"0.0,1.0,0.65,-0.2725292444229126,2.2398622035980225,0.2407812625169754",1
weather prediction,"0.0,1.0,0.9,-0.37885797023773193,0.05035746842622757,-0.2732047140598297",0
databases LSB,"0.0,1.0,0.65,0.4888679087162018,1.0371376276016235,0.22301366925239563",0
test parameters,"0.0,1.0,0.75,5.932694435119629,3.071674346923828,4.401546001434326",0
OPTICS,"0.0,1.0,0.3,-0.025273194536566734,0.2644428014755249,-0.04147754982113838",0
expected values,"0.0,1.0,0.75,1.3980035781860352,5.542366981506348,0.9546326994895935",0
Traffic Management,"0.0,1.0,0.9,-5.194621562957764,0.7590107321739197,2.8562350273132324",0
lanes Sensors,"0.0,1.0,0.65,0.37518224120140076,0.884286642074585,0.3702123165130615",0
CRR Value,"0.0,1.0,0.45,0.0761846974492073,0.7899399399757385,0.11595563590526581",1
statistical model,"0.0,1.0,0.85,-3.997359037399292,0.9115696549415588,1.2461178302764893",0
Binary Space,"0.0,1.0,0.6,-2.787874937057495,7.042671203613281,0.6286106109619141",0
ROD,"0.0,1.0,0.15,0.329142689704895,0.01081023458391428,0.28166186809539795",1
Time Volume,"0.0,1.0,0.55,-2.429248094558716,1.1491700410842896,4.945473670959473",0
different locations,"0.0,1.0,0.95,0.2853258550167084,1.0130234956741333,0.44389232993125916",0
statistical foundation,"0.0,1.0,1.1,-3.4196135997772217,0.8517998456954956,1.0865402221679688",0
verification procedures,"0.0,1.0,1.15,-0.11244404315948486,0.6077607274055481,0.029703572392463684",0
detection tests,"0.0,1.0,0.75,-8.691801071166992,1.8809945583343506,2.71681547164917",0
data pages,"0.0,1.0,0.5,2.115751028060913,6.097046375274658,1.724860668182373",0
Temporal Neighbors,"0.0,1.0,0.9,-4.064970016479492,-0.4562509059906006,4.270444393157959",0
Time Station,"0.0,1.0,0.6,1.6366243362426758,-4.027028560638428,9.031432151794434",0
National Imagery,"0.0,1.0,0.8,0.22296512126922607,0.1819094717502594,0.9984448552131653",0
tatistic technique,"0.0,1.0,0.9,-0.7001702785491943,-0.1750480830669403,0.36903250217437744",0
spatial relationships,"0.0,1.0,1.05,5.630519866943359,2.7203526496887207,4.051895618438721",0
National Cancer,"0.0,1.0,0.75,0.03928592801094055,0.2854558825492859,1.1216024160385132",0
deviations Outliers,"0.0,1.0,0.95,5.1843037605285645,2.6709046363830566,4.336338996887207",0
Traffic Data,"0.0,1.0,0.6,-2.8581292629241943,7.003742694854736,3.3601255416870117",1
fixed Euclidean distance,"0.0,1.0,1.2,-0.2732783555984497,0.37686991691589355,0.6497490406036377",0
outliers Breunig,"0.0,1.0,0.8,5.558781147003174,2.5790021419525146,4.024438858032227",0
NSF,"0.0,1.0,0.15,-4.127346992492676,9.48311710357666,0.5215454697608948",0
R N,"0.0,1.0,0.15,1.5635974407196045,9.172490119934082,1.4036107063293457",1
useful knowledge Existing,"0.0,1.0,1.25,0.6509770154953003,1.4081883430480957,0.3173489272594452",0
Spatial Outlier,"0.0,1.0,0.75,-0.13169097900390625,3.685607671737671,5.885439872741699",1
computation cost,"0.0,1.0,0.8,-10.17442798614502,0.8576370477676392,4.056440353393555",0
Data Mining,"0.0,1.0,0.55,3.047952651977539,6.342843055725098,1.6935861110687256",0
nontrivial task,"0.0,1.0,0.75,-0.9091506600379944,7.42624044418335,0.3763258457183838",0
CRR LRB,"0.0,1.0,0.35,-0.21466298401355743,-0.06414375454187393,-0.16746088862419128",0
attribute data,"0.0,1.0,0.7,3.6963069438934326,11.356650352478027,2.4897217750549316",0
Efficient algorithms,"0.0,1.0,1.0,-0.369442343711853,-0.776382565498352,1.4159716367721558",0
I35E,"0.0,1.0,0.2,0.0335293710231781,-0.033754460513591766,0.2032366693019867",0
RRB Page,"0.0,1.0,0.4,-0.4904489517211914,3.7262253761291504,0.3115079998970032",0
peeling depth,"0.0,1.0,0.65,0.31264108419418335,0.15084001421928406,0.5525023937225342",0
I394,"0.0,1.0,0.2,0.0,0.0,0.0",0
temporal neighborhood,"0.0,1.0,1.05,-3.5009732246398926,-2.204763650894165,5.421002388000488",0
local outliers Advances,"0.0,1.0,1.15,3.7187345027923584,1.5215445756912231,3.092698335647583",0
computational complexity,"0.0,1.0,1.2,-1.655238389968872,-3.1359353065490723,4.880414009094238",0
convex hull layers,"0.0,1.0,0.9,-1.4789503812789917,1.0526894330978394,0.4958689510822296",0
high performance,"0.0,1.0,0.8,-5.4685444831848145,-0.8955101370811462,3.681166648864746",0
Shashi Shekhar,"0.0,1.0,0.7,-2.0640883445739746,2.642312526702881,0.46499186754226685",0
Hui Xiong,"0.0,1.0,0.45,-2.1567740440368652,-0.016426246613264084,1.3415236473083496",0
Dist F,"0.0,1.0,0.3,0.4044983685016632,0.3838348388671875,0.4996464252471924",0
CRR values,"0.0,1.0,0.5,1.1652454137802124,5.516556262969971,0.904295802116394",0
spatial outlier,"0.0,1.0,0.75,-0.13169097900390625,3.685607671737671,5.885439872741699",1
Aoying Zhou,"0.0,1.0,0.55,-0.9701197743415833,-0.8126009702682495,1.8053604364395142",0
various locations,"0.0,1.0,0.85,-0.6289541721343994,-0.2466774880886078,0.3538956642150879",0
NIMA,"0.0,1.0,0.2,0.2688630223274231,-0.1978093385696411,0.3913721442222595",0
x Statistic,"0.0,1.0,0.55,0.9975540637969971,-0.20227575302124023,0.8118612170219421",0
unsplit edges,"0.0,1.0,0.65,-2.2054882049560547,-3.0591530799865723,4.709763526916504",0
unified notion,"0.0,1.0,0.7,0.1705893874168396,-0.05753745138645172,0.13490477204322815",0
occupancy information,"0.0,1.0,1.05,0.48141443729400635,-2.2622294425964355,3.2293241024017334",0
Table Zone,"0.0,1.0,0.5,0.7358465194702148,-0.07496233284473419,0.9363420009613037",0
Table Polygon,"0.0,1.0,0.65,0.5807634592056274,-0.04889163002371788,0.9146907329559326",0
Li Chen,"0.0,1.0,0.35,-0.010779023170471191,-2.4109671115875244,6.252108573913574",0
ND,"0.0,1.0,0.1,0.2542508840560913,-0.2013862133026123,0.15681427717208862",1
consecutive random,"0.0,1.0,0.9,0.7518134713172913,1.3040244579315186,0.6393786668777466",0
Additional Neighbors,"0.0,1.0,1.0,2.044184923171997,5.169022560119629,1.2555913925170898",0
loop detectors,"0.0,1.0,0.7,-0.2888694107532501,0.5478367805480957,0.7152286767959595",0
x N,"0.0,1.0,0.15,2.0725655555725098,7.3967742919921875,2.0424156188964844",0
probability ff,"0.0,1.0,0.7,1.6342103481292725,0.8602141737937927,2.057079553604126",0
Zord LRB,"0.0,1.0,0.4,0.37718847393989563,0.0968172699213028,0.2851746678352356",0
data objects,"0.0,1.0,0.6,3.0074501037597656,6.4381422996521,1.7357985973358154",0
normal distribution Given,"0.0,1.0,1.25,-0.4642013609409332,2.6864001750946045,0.2765471935272217",0
v RRB,"0.0,1.0,0.25,0.3328435719013214,0.013746404089033604,0.8110047578811646",0
anomalous windows Proceedings,"0.0,1.0,1.45,-1.5733946561813354,0.9087749123573303,0.5158182978630066",0
temporal neighbors,"0.0,1.0,0.9,-4.064970016479492,-0.4562509059906006,4.270444393157959",0
LRB c,"0.0,1.0,0.25,2.2042722702026367,-0.19778171181678772,2.191650152206421",0
