candidate,feature,label
Computatinal Geometry,"0.0,1.0,1.05,0.15973058342933655,0.34593433141708374,0.10794270038604736",0
Computation Random,"0.0,1.0,0.9,4.542830944061279,0.07050967216491699,3.589405059814453",0
Computational geometry,"0.0,1.0,1.1,-2.373502254486084,1.8681281805038452,1.1312471628189087",0
Compute Standard,"0.0,1.0,0.8,-0.3158431649208069,1.6355646848678589,0.8146946430206299",0
Computing Research,"0.0,1.0,0.9,0.23624491691589355,2.7506747245788574,2.1689915657043457",0
Computing depth,"0.0,1.0,0.75,-1.1403465270996094,3.088655948638916,1.341874599456787",0
Confidence level,"0.0,1.0,0.8,-1.0123411417007446,-0.17957937717437744,0.7039171457290649",0
Connectivity Graph,"0.0,1.0,0.9,2.2363696098327637,0.8944312334060669,1.2266700267791748",0
Connectivity Residue,"0.0,1.0,1.0,0.7772567868232727,0.47239333391189575,0.6173044443130493",0
Contribution Many,"0.0,1.0,0.85,1.041917324066162,-0.29907387495040894,1.1631542444229126",0
Correctness outliers,"0.0,1.0,1.0,6.445151329040527,1.620957851409912,3.8013978004455566",0
Cost Analysis,"0.0,1.0,0.65,-5.649527072906494,-2.754636764526367,8.529397964477539",0
Cost Model,"0.0,1.0,0.5,-6.540938377380371,2.1906282901763916,3.4630982875823975",1
Cost Modeling,"0.0,1.0,0.65,-6.052451133728027,2.0137434005737305,3.1307730674743652",0
Cost Models,"0.0,1.0,0.55,-6.424267768859863,2.2157533168792725,3.3929059505462646",0
Cost Route,"0.0,1.0,0.5,-5.979221820831299,2.086857795715332,3.1595799922943115",0
DAAH,"0.0,1.0,0.2,0.0,0.0,0.0",0
DB,"0.0,1.0,0.1,0.4014703631401062,0.0695013776421547,0.3894379436969757",0
Data Mining,"0.0,1.0,0.55,4.097940921783447,6.125917434692383,2.3149495124816895",0
Data Set,"0.0,1.0,0.4,4.346022605895996,6.545348167419434,2.4773967266082764",1
Data Structures,"0.0,1.0,0.75,3.921123504638672,5.923365116119385,2.2927868366241455",0
Data mining,"0.0,1.0,0.55,4.097940921783447,6.125917434692383,2.3149495124816895",0
Database Group,"0.0,1.0,0.7,-5.225184440612793,2.429863452911377,2.9140000343322754",0
Davidson Goutam,"0.0,1.0,0.75,-0.026154255494475365,0.16488851606845856,0.3409472107887268",0
Depth Figure,"0.0,1.0,0.6,2.8201725482940674,-0.9462335109710693,2.3851001262664795",0
Depth Zord,"0.0,1.0,0.5,0.45661598443984985,-0.24033118784427643,0.5198478102684021",0
Detect Method,"0.0,1.0,0.65,0.4172746539115906,-0.20678679645061493,0.6120952367782593",0
Detection Algorithm,"0.0,1.0,0.95,-3.223421096801758,8.70948600769043,4.214357376098633",0
Detection Methodologies,"0.0,1.0,1.15,-5.523906230926514,2.800039768218994,2.70928692817688",0
Detection Methods,"0.0,1.0,0.85,-5.517693042755127,2.9451749324798584,2.714517116546631",0
Detection Problem,"0.0,1.0,0.85,-4.807168483734131,7.219945907592773,3.6590189933776855",0
Detector Detector,"0.0,1.0,0.85,1.3284552097320557,0.1835821568965912,0.8345759510993958",0
Detector Station,"0.0,1.0,0.8,6.824013710021973,1.2324281930923462,4.181070804595947",0
Detector Table,"0.0,1.0,0.7,1.4316810369491577,-0.1417076140642166,1.0040407180786133",0
Detector Volume,"0.0,1.0,0.75,-4.386516571044922,2.8066868782043457,2.900273084640503",0
Detector map,"0.0,1.0,0.6,0.9303412437438965,0.006283171474933624,0.4834047853946686",0
Deviation return,"0.0,1.0,0.8,-0.6154648065567017,1.425618052482605,0.7055636644363403",0
Dist jNNSj,"0.0,1.0,0.5,0.22004036605358124,0.09760167449712753,0.449066698551178",0
Distribution Probability,"0.0,1.0,1.2,-2.7098159790039062,2.1853535175323486,1.3876415491104126",0
Djugash Changqing,"0.0,1.0,0.85,-0.16306841373443604,0.3543127775192261,0.3164786100387573",0
Domain Traffic,"0.0,1.0,0.7,-4.480974197387695,2.9681894779205322,2.7151193618774414",0
Downtown Minneapolis,"0.0,1.0,1.0,0.13569432497024536,0.017434999346733093,0.38610363006591797",0
Efficient algorithms,"0.0,1.0,1.0,-0.6116288900375366,-0.9851894378662109,1.2748361825942993",0
Euclidean distance,"0.0,1.0,0.9,-0.22480300068855286,-0.2754867374897003,0.5424055457115173",0
Euclidean space,"0.0,1.0,0.75,-0.4029870331287384,-0.5267335176467896,0.943450927734375",0
Experiment Design,"0.0,1.0,0.85,2.124446153640747,-2.3008663654327393,3.4571352005004883",0
Experimental Layout,"0.0,1.0,0.95,-0.37254929542541504,-0.1676032692193985,0.7025983333587646",0
Experimental Results,"0.0,1.0,1.0,2.2918150424957275,-0.5006253719329834,1.968822956085205",0
Figure Classification,"0.0,1.0,1.05,2.3411166667938232,-0.8651163578033447,1.8616241216659546",0
Figure Detector,"0.0,1.0,0.75,3.1782588958740234,-0.6732081174850464,2.3419907093048096",0
Figure Effect,"0.0,1.0,0.65,2.963322401046753,-0.8881353735923767,2.4687750339508057",0
Figure Example,"0.0,1.0,0.7,3.5002858638763428,-0.9296720027923584,2.778742551803589",0
Figure Experimental,"0.0,1.0,0.95,2.6909446716308594,-0.7392019629478455,2.207674503326416",0
Figure Outlier,"0.0,1.0,0.7,-2.3595080375671387,2.111187696456909,4.276230812072754",0
Figure Spatial,"0.0,1.0,0.7,8.994104385375977,0.6009654402732849,5.752052307128906",0
Figure Verification,"0.0,1.0,0.95,2.6569159030914307,-0.3492870628833771,1.9792293310165405",0
Find Neighbor,"0.0,1.0,0.65,0.2160579264163971,0.7308363914489746,0.3354113698005676",0
Find neighbor,"0.0,1.0,0.65,0.2160579264163971,0.7308363914489746,0.3354113698005676",0
Freeway Direction,"0.0,1.0,0.85,1.0420591831207275,-2.2196784019470215,3.067262887954712",0
Freeway Operations,"0.0,1.0,0.9,0.8101810216903687,0.1506521850824356,0.8360459804534912",0
GIS,"0.0,1.0,0.15,-0.3271471858024597,-0.22309014201164246,0.8411712646484375",0
Geometric Databases,"0.0,1.0,0.95,0.3673126995563507,0.5959460735321045,-0.038058385252952576",0
Get One,"0.0,1.0,0.35,-1.4406201839447021,0.4276161789894104,1.3747634887695312",0
Goutam Paul,"0.0,1.0,0.55,-1.3550466299057007,0.5036655068397522,1.076380968093872",0
Graph Detection,"0.0,1.0,0.75,-3.5994954109191895,3.077864646911621,3.215374231338501",0
Grid File,"0.0,1.0,0.45,-5.633020401000977,-1.0426905155181885,4.198948860168457",0
Group members,"0.0,1.0,0.65,-5.182682514190674,2.2998313903808594,2.789494276046753",0
High Performance,"0.0,1.0,0.8,-3.51617431640625,-2.878939151763916,4.863339424133301",0
Highway Connectivity,"0.0,1.0,1.0,0.9376553893089294,0.5401543378829956,0.5590614080429077",0
Hilbert ordering,"0.0,1.0,0.8,0.5159803032875061,0.12001990526914597,0.21187342703342438",0
Hodge Jim,"0.0,1.0,0.45,-0.43343597650527954,0.6057131290435791,0.5194246768951416",0
Huang Hui,"0.0,1.0,0.45,0.5562824606895447,3.6485183238983154,2.098475694656372",0
Huang Judy,"0.0,1.0,0.5,1.350476622581482,4.221994876861572,1.3647207021713257",0
Huang Xiaobin,"0.0,1.0,0.65,1.6065382957458496,4.622542381286621,1.4022266864776611",0
Hui Xiong,"0.0,1.0,0.45,-1.305649995803833,-0.42179641127586365,1.6860018968582153",0
ID,"0.0,1.0,0.1,0.35023534297943115,-0.3371959924697876,-0.3064351975917816",1
IE,"0.0,1.0,0.1,0.0,0.0,0.0",1
IO,"0.0,1.0,0.1,0.0,0.0,0.0",1
Ian Davidson,"0.0,1.0,0.6,0.003175143152475357,0.7690082788467407,0.26034367084503174",0
Illustrative Application,"0.0,1.0,1.2,-0.4075477719306946,-0.6624467968940735,1.1945782899856567",0
Index Structure,"0.0,1.0,0.75,1.4155738353729248,1.6692109107971191,0.7892311811447144",0
Information Sciences,"0.0,1.0,1.0,1.8129955530166626,-2.384235143661499,2.9770290851593018",0
Information Systems,"0.0,1.0,0.95,3.038194417953491,-3.878164052963257,4.9454240798950195",0
Intelligence Review,"0.0,1.0,0.95,0.20971399545669556,0.12159614264965057,0.4396251440048218",0
International Journal,"0.0,1.0,1.05,-5.636025905609131,4.453157424926758,2.7301015853881836",0
Interstate freeways,"0.0,1.0,0.95,0.1733846515417099,0.29758894443511963,-0.05335133150219917",0
Introduction Data,"0.0,1.0,0.85,4.361464500427246,5.2695231437683105,2.7610104084014893",0
Jian Pei,"0.0,1.0,0.4,-0.06551393121480942,0.14423879981040955,0.38310670852661133",0
Jiang Zhao,"0.0,1.0,0.5,-0.19529081881046295,0.11799672991037369,1.178676724433899",0
Jim Austin,"0.0,1.0,0.5,-0.17613820731639862,0.4077814221382141,0.488056480884552",0
Judy Djugash,"0.0,1.0,0.6,0.01805025525391102,0.5094744563102722,0.3915890157222748",0
Kim Koffolt,"0.0,1.0,0.55,3.6114070415496826,3.481278657913208,1.9998701810836792",0
Knowledge Discovery,"0.0,1.0,0.95,0.5697027444839478,0.9914828538894653,0.40363243222236633",0
Knowledge discovery,"0.0,1.0,0.95,0.5697027444839478,0.9914828538894653,0.40363243222236633",0
Kou Jiang,"0.0,1.0,0.45,0.4662880599498749,-5.027651786804199e-05,1.3179676532745361",0
LRU,"0.0,1.0,0.15,-0.5174611210823059,0.17946423590183258,-0.025890428572893143",0
Large Datasets,"0.0,1.0,0.7,1.3560245037078857,0.47868168354034424,0.8098307847976685",0
Legend Neighbors,"0.0,1.0,0.8,0.8165205717086792,1.4487435817718506,0.480577290058136",0
Linear Clustering,"0.0,1.0,0.85,-0.8287267088890076,0.4277850389480591,0.5032334327697754",0
Management Center,"0.0,1.0,0.85,0.28939536213874817,-1.1778626441955566,1.5636727809906006",0
Mapping Agency,"0.0,1.0,0.7,-0.3317650556564331,0.16303643584251404,0.4758090376853943",0
McLean Virginia,"0.0,1.0,0.75,0.07279287278652191,-0.03288063406944275,0.5742521286010742",0
Melbourne Florida,"0.0,1.0,0.85,0.15366843342781067,0.08283599466085434,0.3678971827030182",0
Method Actual,"0.0,1.0,0.65,0.4380188584327698,0.9774069786071777,1.0851589441299438",0
Methodologies Artificial,"0.0,1.0,1.2,-0.6616483330726624,0.4841786026954651,0.4080387353897095",0
Mexico Sanjay,"0.0,1.0,0.65,0.37809306383132935,0.8715035915374756,0.4949711263179779",0
Mining tasks,"0.0,1.0,0.6,-0.11428824067115784,-0.7343416213989258,1.8245199918746948",0
Minnesota Dept,"0.0,1.0,0.7,-0.04030025005340576,0.23661009967327118,0.2009069323539734",0
Multivariate Statistical,"0.0,1.0,1.2,-2.2708637714385986,1.298664927482605,1.4651424884796143",0
NASA,"0.0,1.0,0.2,1.6586817502975464,-0.23623532056808472,1.4706716537475586",0
NCI,"0.0,1.0,0.15,0.402969092130661,-0.039982870221138,0.20520341396331787",0
ND,"0.0,1.0,0.1,-0.05066613107919693,-0.31865301728248596,0.033640146255493164",1
NIMA,"0.0,1.0,0.2,0.3903326690196991,-0.14234177768230438,0.22350239753723145",0
NNS,"0.0,1.0,0.15,0.4487670660018921,-0.13179756700992584,0.5385503768920898",0
NSF,"0.0,1.0,0.15,1.3610676527023315,9.208154678344727,2.4085114002227783",0
National Cancer,"0.0,1.0,0.75,0.12820744514465332,0.16351275146007538,0.9693154692649841",0
National Imagery,"0.0,1.0,0.8,0.0621272474527359,0.11222736537456512,0.8200600147247314",0
Neighbor Density,"0.0,1.0,0.8,0.10494112968444824,0.4194422960281372,0.62888503074646",0
Neighbor Nodes,"0.0,1.0,0.7,1.1825811862945557,1.950761079788208,0.708906888961792",0
Neighborhood Depth,"0.0,1.0,0.9,1.870367169380188,-0.5064563751220703,1.6979036331176758",0
Neighborhood Figure,"0.0,1.0,0.95,4.0782575607299805,-1.0902212858200073,3.1622087955474854",0
Neighborhood Neighborhood,"0.0,1.0,1.25,3.1284520626068115,-0.6504441499710083,2.4750123023986816",0
Neighborhood Number,"0.0,1.0,0.95,7.923415184020996,1.0018491744995117,4.99853515625",0
Neighborhood Time,"0.0,1.0,0.85,4.965277671813965,-1.332411289215088,3.8588902950286865",0
Neighbors Additional,"0.0,1.0,1.0,1.524219274520874,-1.1728370189666748,3.483457088470459",0
Neighbors Buffering,"0.0,1.0,0.95,0.11735230684280396,2.296219825744629,1.0556135177612305",0
Neighbors Number,"0.0,1.0,0.8,7.268769264221191,2.7112650871276855,4.235811710357666",0
Neighbors Spatial,"0.0,1.0,0.85,7.389653205871582,2.7501583099365234,4.302132606506348",0
Neighbors Zord,"0.0,1.0,0.7,1.0600550174713135,1.3250967264175415,0.5342329144477844",0
Nest loop,"0.0,1.0,0.45,-1.4948164224624634,-0.4082752466201782,1.4746463298797607",0
New Mexico,"0.0,1.0,0.5,1.1020545959472656,1.948523998260498,0.6353752613067627",0
Node Figure,"0.0,1.0,0.55,6.140017509460449,4.785057067871094,4.04981803894043",0
Node Verification,"0.0,1.0,0.85,3.7688703536987305,5.965768814086914,2.1796422004699707",0
Nodes Set,"0.0,1.0,0.45,1.5746577978134155,2.4837775230407715,0.816819429397583",0
Normal Distribution,"0.0,1.0,0.95,-2.910201072692871,2.3784313201904297,1.4032478332519531",1
Normal Table,"0.0,1.0,0.6,-0.25603604316711426,0.5576249361038208,1.0907423496246338",0
Normal probability,"0.0,1.0,0.9,-1.8465938568115234,1.3891693353652954,0.9923728704452515",0
Normalized Volume,"0.0,1.0,0.85,-5.100939750671387,2.746622085571289,2.5989553928375244",0
North Bound,"0.0,1.0,0.55,2.9337568283081055,-1.9026083946228027,5.3601274490356445",0
North BoundAverage,"0.0,1.0,0.9,-2.066009998321533,-4.6147966384887695,5.690769672393799",0
OPTICS,"0.0,1.0,0.3,0.11860169470310211,-0.07586299628019333,-0.1457931250333786",0
Objective ffl,"0.0,1.0,0.65,-0.4965076744556427,0.00376288965344429,0.3333469033241272",0
Occupancy Value,"0.0,1.0,0.75,0.0680295079946518,0.8376303911209106,0.21599797904491425",0
Omega Gamma,"0.0,1.0,0.55,-2.6082208156585693,-4.4426188468933105,5.35630464553833",0
One Object,"0.0,1.0,0.5,-0.4381121098995209,0.9590353965759277,0.8691518306732178",0
Operations group,"0.0,1.0,0.8,-4.584988117218018,2.6257596015930176,3.077310562133789",0
Optics Ordering,"0.0,1.0,0.75,0.6053974032402039,0.0933879017829895,0.28712308406829834",0
Ordering points,"0.0,1.0,0.75,1.0129024982452393,0.8735607266426086,0.589292049407959",0
Other access,"0.0,1.0,0.6,3.295100688934326,-4.391129016876221,6.123364448547363",0
Other parameters,"0.0,1.0,0.8,4.272426128387451,-4.641064643859863,6.178281784057617",0
Outlier Detect,"0.0,1.0,0.7,-5.02067756652832,2.764531135559082,2.3437979221343994",1
Outlier Detection,"0.0,1.0,0.85,-9.877307891845703,5.439160346984863,4.824307441711426",1
Outlier Figure,"0.0,1.0,0.7,-2.3595080375671387,2.111187696456909,4.276230812072754",0
Outlier Set,"0.0,1.0,0.55,-4.211338520050049,3.9136011600494385,2.6741349697113037",0
Outlier Station,"0.0,1.0,0.75,1.2862467765808105,4.016823768615723,6.115311145782471",0
Outlier detection,"0.0,1.0,0.85,-9.877307891845703,5.439160346984863,4.824307441711426",1
Outlier station,"0.0,1.0,0.75,1.2862467765808105,4.016823768615723,6.115311145782471",0
Output Outlier,"0.0,1.0,0.7,-4.990069389343262,2.9352288246154785,2.1888785362243652",0
Page Accesses,"0.0,1.0,0.65,-1.4716894626617432,1.3387483358383179,0.7979253530502319",1
Page Size,"0.0,1.0,0.45,-4.450168609619141,4.000736236572266,2.0595996379852295",1
Page size,"0.0,1.0,0.45,-4.450168609619141,4.000736236572266,2.0595996379852295",1
Paper Scope,"0.0,1.0,0.55,1.6478111743927002,0.3943626284599304,1.412630319595337",0
Parameters Computation,"0.0,1.0,1.1,4.101444244384766,-1.733062982559204,3.845329999923706",0
Parameters Test,"0.0,1.0,0.75,3.737046957015991,-4.35432767868042,5.771209239959717",0
Paul Locating,"0.0,1.0,0.65,-1.4266257286071777,0.6858340501785278,1.0072829723358154",0
Pei Mining,"0.0,1.0,0.5,0.3602788746356964,0.6638555526733398,0.26647138595581055",0
Pei Sun,"0.0,1.0,0.35,-0.5459429621696472,0.34419092535972595,0.3797273635864258",0
Performance Computing,"0.0,1.0,1.05,-5.384119033813477,0.45855069160461426,5.334236145019531",0
Polygon Boundary,"0.0,1.0,0.8,0.1002664566040039,-0.12348699569702148,0.42391401529312134",0
Predicted Actual,"0.0,1.0,0.8,-0.01543436199426651,2.0677084922790527,0.9438071250915527",0
Probability Plot,"0.0,1.0,0.8,-1.1852165460586548,0.9349135160446167,0.9634694457054138",0
Probability Volume,"0.0,1.0,0.9,-5.8738484382629395,3.312941551208496,2.9713683128356934",0
Problem Formulation,"0.0,1.0,0.95,0.2769770920276642,5.464656352996826,1.3590151071548462",0
Problem Given,"0.0,1.0,0.65,0.2840566635131836,4.669464111328125,1.0398213863372803",0
Professor Vipin,"0.0,1.0,0.75,-1.6420714855194092,0.6983097791671753,0.9853141903877258",0
Proof Given,"0.0,1.0,0.55,2.3783209323883057,-0.6448516249656677,1.5980075597763062",0
Qian Hongjun,"0.0,1.0,0.6,-0.11923177540302277,0.4282313287258148,0.8667256832122803",0
RN,"0.0,1.0,0.1,-0.143732488155365,-0.1567438691854477,0.2156667709350586",1
RNV,"0.0,1.0,0.15,0.43856000900268555,-0.21401919424533844,0.3671189248561859",1
ROD,"0.0,1.0,0.15,0.20736275613307953,-0.1954030990600586,0.31559839844703674",1
Random Node,"0.0,1.0,0.55,4.335716247558594,6.752142906188965,2.5059309005737305",0
Related Work,"0.0,1.0,0.6,1.7245302200317383,-0.4958445727825165,1.6074107885360718",0
Research Center,"0.0,1.0,0.75,1.7003952264785767,-0.8649191856384277,1.828721046447754",0
Research Laboratory,"0.0,1.0,0.95,2.321375608444214,-0.6763310432434082,1.843288779258728",0
Residue Ratio,"0.0,1.0,0.65,3.1726675033569336,-3.736910343170166,5.265552997589111",0
Route Outlier,"0.0,1.0,0.65,-5.0543670654296875,3.0427980422973633,2.4122302532196045",0
SIGKDD,"0.0,1.0,0.3,0.03521072864532471,0.23134243488311768,0.028588958084583282",0
SLOM,"0.0,1.0,0.2,-0.0019001455511897802,0.34604576230049133,0.5143455266952515",0
Saint Paul,"0.0,1.0,0.5,-1.523155689239502,0.6104855537414551,0.9732921123504639",0
Sanjay Chawla,"0.0,1.0,0.65,-0.03790003061294556,0.35509589314460754,0.645399808883667",0
Section reviews,"0.0,1.0,0.75,3.2227706909179688,-1.0247713327407837,2.6284291744232178",0
Set Mean,"0.0,1.0,0.4,5.406426906585693,1.939030408859253,3.160068988800049",0
Set return,"0.0,1.0,0.5,0.7921077013015747,1.0292950868606567,0.49785661697387695",0
Shashi Shekhar,"0.0,1.0,0.7,-2.4961495399475098,-2.173459529876709,3.399468421936035",0
Shekhar Jian,"0.0,1.0,0.6,-1.20091712474823,-1.0022557973861694,1.951725959777832",0
Shekhar Yan,"0.0,1.0,0.55,-0.3132486939430237,3.077871322631836,2.7988033294677734",0
Size Buffer,"0.0,1.0,0.55,-4.106592655181885,0.9347556829452515,3.7862372398376465",0
Size Sets,"0.0,1.0,0.45,-2.742112159729004,3.776583194732666,1.6343553066253662",0
South Bound,"0.0,1.0,0.55,4.110998630523682,0.48320984840393066,2.6876001358032227",0
Space Legend,"0.0,1.0,0.6,-0.451052725315094,-0.48884275555610657,0.8209224343299866",0
Space Partitioning,"0.0,1.0,0.9,-0.5245542526245117,-0.5462915897369385,0.8629494309425354",0
Spatial Database,"0.0,1.0,0.8,6.555510520935059,1.341373085975647,4.087217330932617",0
Spatial Graph,"0.0,1.0,0.65,7.884346008300781,1.8808555603027344,4.569944858551025",1
Spatial Neighborhood,"0.0,1.0,1.0,8.044299125671387,1.0407426357269287,5.064856052398682",0
Spatial Outlier,"0.0,1.0,0.75,1.6065335273742676,4.242151260375977,6.178877830505371",1
Spatial Statistic,"0.0,1.0,0.85,6.6222686767578125,1.3097496032714844,3.809962272644043",0
Spatial Temporal,"0.0,1.0,0.8,7.002224922180176,-2.9283039569854736,8.86328411102295",0
Spatial data,"0.0,1.0,0.6,10.163894653320312,6.873898506164551,5.982139587402344",1
Spatial set,"0.0,1.0,0.55,7.142273902893066,2.403378963470459,4.149956703186035",0
Standard Deviation,"0.0,1.0,0.9,-1.0640795230865479,2.9820966720581055,1.0766102075576782",0
State trunk,"0.0,1.0,0.55,2.1797478199005127,1.4901496171951294,1.1098082065582275",0
States Department,"0.0,1.0,0.85,-0.07992342114448547,-0.06317693740129471,0.296662300825119",0
Station Detector,"0.0,1.0,0.8,6.824013710021973,1.2324281930923462,4.181070804595947",0
Station Figure,"0.0,1.0,0.7,8.67381763458252,0.375637948513031,5.688485622406006",0
Station Location,"0.0,1.0,0.8,6.494110584259033,1.7406153678894043,3.9955027103424072",0
Station Table,"0.0,1.0,0.65,6.927239418029785,0.907138466835022,4.350535869598389",0
Station Time,"0.0,1.0,0.6,9.560837745666504,0.13344788551330566,6.385167121887207",0
Station Volume,"0.0,1.0,0.7,1.1090421676635742,3.8555328845977783,6.246767997741699",0
Statistical Analysis,"0.0,1.0,1.0,-2.267692804336548,-3.4443554878234863,6.648824214935303",0
Statistical Assumption,"0.0,1.0,1.1,-2.356959819793701,1.2776247262954712,1.2587227821350098",0
Statistical Data,"0.0,1.0,0.8,1.2672619819641113,6.738461971282959,3.373094081878662",0
Statistical distribution,"0.0,1.0,1.2,-4.303271293640137,2.817835807800293,2.1175625324249268",0
Symbol Meaning,"0.0,1.0,0.7,-0.8674628734588623,-0.27878350019454956,0.8260278701782227",0
TCHCG,"0.0,1.0,0.25,0.3298913240432739,0.31773778796195984,0.10241850465536118",0
TMC,"0.0,1.0,0.15,0.2618170976638794,0.0496959425508976,0.14107933640480042",0
TPC,"0.0,1.0,0.15,-0.1738872230052948,0.1257118284702301,-0.19539107382297516",1
TR,"0.0,1.0,0.1,0.27926012873649597,0.48016518354415894,0.5045029520988464",1
Table Polygon,"0.0,1.0,0.65,0.7126379013061523,-0.17510074377059937,0.8485450744628906",0
Table Symbols,"0.0,1.0,0.65,0.9254271984100342,-0.384848415851593,1.0396734476089478",0
Table Time,"0.0,1.0,0.5,4.16850471496582,-1.2406879663467407,3.208137035369873",0
Table Zone,"0.0,1.0,0.5,0.8943266868591309,-0.19913509488105774,0.7746663093566895",0
Temporal Neighborhood,"0.0,1.0,1.05,2.0863780975341797,-4.619490623474121,6.273440361022949",0
Temporal Neighbors,"0.0,1.0,0.9,1.431732177734375,-2.9100749492645264,5.510716438293457",0
Test Parameters,"0.0,1.0,0.75,3.737046957015991,-4.35432767868042,5.771209239959717",0
Test Results,"0.0,1.0,0.6,5.58360481262207,-4.279263973236084,6.820320129394531",0
