keyword,probability,label
networks Wireless,0.0010659817,0
packet losses,0.0010659817,0
networks Performance,0.0010659817,0
network topology,0.0010659817,0
more energy,0.0010659817,0
multimedia networking,0.0010659817,0
power dissipation,0.0010659817,0
networks April,0.0010659817,0
performance modeling,0.0010659817,0
networks Proceedings,0.0010659817,0
networks May,0.0010659817,0
more data,0.0010659817,0
ooding algorithm,0.0010659817,0
less energy,0.0010659806,0
layer protocol,0.0010659806,0
mobile networks,0.0010659806,0
receive mode,0.0010659806,0
modeling October,0.0010659806,0
total energy,0.0010659806,0
topology information,0.0010659806,0
sensor networks,0.0010659806,0
such protocols,0.0010659806,0
time period,0.0010659806,0
multicast trees,0.0010659806,0
modied versions,0.0010659806,0
modied version,0.0010659806,0
routing protocol,0.0010659806,0
Wireless networks,0.0010659796,0
hoc network,0.0010659796,0
Michele Zorzi,0.0010659796,0
Vancouver British,0.0010659796,0
Nice France,0.0010659796,0
Network Protocols,0.0010659796,0
energy usage,0.0010659796,0
British Columbia,0.0010659796,0
Transport Protocol,0.0010659796,0
higher throughput,0.0010659796,0
Montreal Quebec,0.0010659796,0
energy resources,0.0010659796,0
TON,0.0010659796,0
MAC,0.0010659796,0
Mobile Computing,0.0010659796,0
EC,0.0010659796,0
energy consumption,0.0010659796,0
Angeles California,0.0010659796,0
Information processing,0.0010659796,0
average energy,0.0010659796,0
Los Angeles,0.0010659796,0
Wireless Networks,0.0010659796,0
Wireless multimedia,0.0010659796,0
Energy Consumption,0.0010659796,0
important area,0.0010659796,0
Quebec Canada,0.0010659796,0
Wireless Sensor,0.0010659796,0
Hoc Networks,0.0010659796,0
broadcast channel,0.0010659796,0
TCP,0.0010659796,0
communication protocol,0.0010659796,0
entire network,0.0010659796,0
Columbia Canada,0.0010659796,0
dierent wireless,0.0010659796,0
data transmission,0.0010659796,0
Sensor Networks,0.0010659796,0
Integrated internet,0.0010659796,0
TDMA,0.0010659796,0
DAAH,0.0010417104,0
Omega Gamma,0.0010417098,0
real numbers,0.0010417054,0
basic idea,0.0009549059,0
clock speed,0.0009549059,0
valuable suggestions,0.00095490407,0
New York,0.0009549036,0
Inc New,0.0009549027,0
random access,0.0009549018,0
cost function,0.0009545061,0
International Journal,0.0009545052,0
key idea,0.0009545052,0
Computing Research,0.0009545052,0
Information Systems,0.0009545052,0
Research Laboratory,0.0009545052,0
time slots,0.0009545052,0
recent years,0.00076376746,0
MG,0.0007637671,0
same order,0.00072188635,0
basic ideas,0.00072188437,0
random variables,0.0006844775,0
energy management,0.000665891,0
Using Adaptive,0.000665891,0
databases Proceedings,0.000665891,0
Data items,0.0006658907,0
DATA,0.0006658907,0
new data,0.0006658894,0
large dense,0.0006658894,0
useful data,0.0006658891,0
next occurrence,0.00066086714,0
Computer Science,0.0006608665,0
International Conference,0.0006608665,0
special form,0.00061102025,0
other words,0.0006110199,0
example consider,0.0006110196,0
only way,0.0006110193,0
Cholesky factorization,0.00049912237,0
AMD,0.00049912237,0
same row,0.00049912237,0
Computer Systems,0.00049912237,0
DEC,0.00049912237,0
data points,0.00049912214,0
SGI,0.00049912214,0
better memory,0.00049912214,0
LU,0.00049912214,0
performance differences,0.00049912214,0
performance gain,0.00049912214,0
dense matrix,0.00049912214,0
memory requirements,0.00049912144,0
more memory,0.00049912144,0
same number,0.00049912144,0
input matrix,0.0004991212,0
interprocess communication,0.0004991212,0
small number,0.0004991203,0
sparse matrix,0.0004991203,0
block size,0.00045307688,0
ND,0.00045307688,0
average volume,0.00045307688,0
performance analysis,0.00045307644,0
leaf nodes,0.00045307644,0
Recent advances,0.00042804316,0
earlier versions,0.00042804296,0
following lemma,0.00040835113,0
proof systems,0.00040835093,0
fault tolerance,0.00039219024,0
distributed systems,0.00039219024,0
simple approach,0.00039219024,0
different way,0.00036563358,0
short time,0.0003656334,0
message passing,0.00036563323,0
average case,0.00034540135,0
SPARC,0.00034540135,0
MIPS,0.00034540135,0
address translation,0.00034540135,0
cache line,0.0003454012,0
cache performance,0.0003454012,0
cache effects,0.0003454012,0
cache hierarchy,0.0003454012,0
cache size,0.0003454012,0
constant factor,0.0003454012,0
Computer Architecture,0.0003454012,0
cache lines,0.0003454012,0
memory access,0.00034540103,0
memory accesses,0.00034540103,0
memory hierarchies,0.00034540103,0
memory references,0.00034540103,0
memory pages,0.00034540103,0
memory management,0.00034540103,0
memory locations,0.00034540103,0
memory hierarchy,0.00034540103,0
register file,0.00034540088,0
virtual address,0.00034540036,0
above approach,0.00023318676,0
next section,0.00023318676,0
total time,0.00022261642,0
multiple times,0.00022261642,0
large fraction,0.00022261642,0
shows results,0.00022261642,0
more communication,0.000106721964,0
helpful discussions,0.000106721964,0
most instructions,3.5950436e-07,0
refill group,3.5950436e-07,0
Distributed Systems,3.5950436e-07,0
Memory External,3.5950436e-07,0
recent architectures,3.5950436e-07,0
Memory Management,3.5950436e-07,0
old elements,3.5950436e-07,0
little effect,3.5950436e-07,0
new variant,3.5950436e-07,0
redundant computations,3.5950436e-07,0
Roman Dementiev,3.5950436e-07,0
Memory overhead,3.5950436e-07,0
noteworthy difference,3.5950436e-07,0
notational overhead,3.5950436e-07,0
nonempty sequences,3.5950436e-07,0
little influence,3.5950436e-07,0
Rolf Fagerberg,3.5950436e-07,0
certain performance,3.5950436e-07,0
most work,3.5950436e-07,0
recent study,3.5950436e-07,0
desktop workstation,3.5950436e-07,0
next element,3.5950436e-07,0
Memory Algorithms,3.5950436e-07,0
Long Operation,3.5950436e-07,0
older study,3.5950436e-07,0
other cases,3.5950436e-07,0
May Gerth,3.5950436e-07,0
Katajainen Crauser,3.5950436e-07,0
queue algorithm,3.5950436e-07,0
queue data,3.5950436e-07,0
queue elements,3.5950436e-07,0
order terms,3.5950436e-07,0
optimized implementation,3.5950436e-07,0
queue implementation,3.5950436e-07,0
moderate speedup,3.5950436e-07,0
optimal memory,3.5950436e-07,0
radix heaps,3.5950436e-07,0
monotonic queues,3.5950436e-07,0
more IOs,3.5950436e-07,0
Efficient priority,3.5950436e-07,0
random keys,3.5950436e-07,0
Jyrki Katajainen,3.5950436e-07,0
random values,3.5950436e-07,0
more comparisons,3.5950436e-07,0
operation sequences,3.5950436e-07,0
realistic cases,3.5950436e-07,0
operation sequence,3.5950436e-07,0
reasonable instruction,3.5950436e-07,0
EDVAC,3.5950436e-07,0
only part,3.5950436e-07,0
II,3.5950436e-07,0
IOs suffice,3.5950436e-07,0
older studies,3.5950436e-07,0
only complication,3.5950436e-07,0
limited clock,3.5950436e-07,0
Improved Cache,3.5950436e-07,0
case analysis,3.5950436e-07,0
respective group,3.5950436e-07,0
necessary number,3.5950436e-07,0
September Bernard,3.5950436e-07,0
leftmost element,3.5950436e-07,0
least trials,3.5950436e-07,0
resulting elements,3.5950436e-07,0
deletion heap,3.5950436e-07,0
resulting sequence,3.5950436e-07,0
deletion buffers,3.5950436e-07,0
careful implementation,3.5950436e-07,0
robust behavior,3.5950436e-07,0
Sequence heaps,3.5950436e-07,0
degradation accelerates,3.5950436e-07,0
degree group,3.5950436e-07,0
degree groups,3.5950436e-07,0
canonical path,3.5950436e-07,0
canonical data,3.5950436e-07,0
calendar queues,3.5950436e-07,0
deleteMin Elements,3.5950436e-07,0
deleteMin insert,3.5950436e-07,0
deleteMin operation,3.5950436e-07,0
cached memory,3.5950436e-07,0
deleteMin operations,3.5950436e-07,0
deleted elements,3.5950436e-07,0
JEA,3.5950436e-07,0
least size,3.5950436e-07,0
certain classes,3.5950436e-07,0
case inputs,3.5950436e-07,0
Intel processor,3.5950436e-07,0
Similarly invalidations,3.5950436e-07,0
data path,3.5950436e-07,0
new technique,3.5950436e-07,0
Second Level,3.5950436e-07,0
new sequence,3.5950436e-07,0
new page,3.5950436e-07,0
level memories,3.5950436e-07,0
level caches,3.5950436e-07,0
replacement strategy,3.5950436e-07,0
multiple levels,3.5950436e-07,0
TPIE,3.5950436e-07,0
new group,3.5950436e-07,0
Sequences Through,3.5950436e-07,0
Discussion Sequence,3.5950436e-07,0
new code,3.5950436e-07,0
required IOs,3.5950436e-07,0
Discrete algorithms,3.5950436e-07,0
Set Associative,3.5950436e-07,0
Insert New,3.5950436e-07,0
level cache,3.5950436e-07,0
Instruction Cache,3.5950436e-07,0
Michael Penner,3.5950436e-07,0
Intel Pentium,3.5950436e-07,0
Intel architecture,3.5950436e-07,0
cases sequence,3.5950436e-07,0
case tests,3.5950436e-07,0
new elements,3.5950436e-07,0
other direction,3.5950436e-07,0
other instruction,3.5950436e-07,0
other group,3.5950436e-07,0
performance degradation,3.5950436e-07,0
merge buffer,3.5950436e-07,0
merge data,3.5950436e-07,0
merge group,3.5950436e-07,0
merge groups,3.5950436e-07,0
conservative estimate,3.5950436e-07,0
merge routine,3.5950436e-07,0
MHz Intel,3.5950436e-07,0
Gerth Brodal,3.5950436e-07,0
MHz Ultra,3.5950436e-07,0
merge sort,3.5950436e-07,0
merging cost,3.5950436e-07,0
confusing effect,3.5950436e-07,0
parallel ports,3.5950436e-07,0
parallel memory,3.5950436e-07,0
parallel disks,3.5950436e-07,0
many accesses,3.5950436e-07,0
parallel disk,3.5950436e-07,0
disk blocks,3.5950436e-07,0
Fast priority,3.5950436e-07,0
mainstream model,3.5950436e-07,0
Graph Algorithms,3.5950436e-07,0
practical interest,3.5950436e-07,0
practical issues,3.5950436e-07,0
mainstream computers,3.5950436e-07,0
page needs,3.5950436e-07,0
computation matters,3.5950436e-07,0
performance difference,3.5950436e-07,0
Fagerberg Kristoffer,3.5950436e-07,0
disk subsystems,3.5950436e-07,0
Gamma insertions,3.5950436e-07,0
places Lemma,3.5950436e-07,0
memory efficiency,3.5950436e-07,0
memory cells,3.5950436e-07,0
pipeline stalls,3.5950436e-07,0
memory execution,3.5950436e-07,0
memory heaps,3.5950436e-07,0
physical principles,3.5950436e-07,0
physical position,3.5950436e-07,0
memory algorithms,3.5950436e-07,0
memory implementations,3.5950436e-07,0
memory algorithm,3.5950436e-07,0
Fishspear data,3.5950436e-07,0
memory latency,3.5950436e-07,0
memory model,3.5950436e-07,0
First draft,3.5950436e-07,0
memory multiprocessor,3.5950436e-07,0
constant time,3.5950436e-07,0
memory priority,3.5950436e-07,0
constant factors,3.5950436e-07,0
memory radix,3.5950436e-07,0
control branches,3.5950436e-07,0
York Inc,3.5950436e-07,0
performance processors,3.5950436e-07,0
memory requirement,3.5950436e-07,0
GR,3.5950436e-07,0
Level Cache,3.5950436e-07,0
Gamma groups,3.5950436e-07,0
memory suffice,3.5950436e-07,0
clock resolution,3.5950436e-07,0
minimal element,3.5950436e-07,0
minimum intervals,3.5950436e-07,0
comparison model,3.5950436e-07,0
overall winner,3.5950436e-07,0
processor variant,3.5950436e-07,0
processors sequence,3.5950436e-07,0
overall charge,3.5950436e-07,0
loser trees,3.5950436e-07,0
current keys,3.5950436e-07,0
Sun Workshop,3.5950436e-07,0
loser tree,3.5950436e-07,0
different compiler,3.5950436e-07,0
loop unrolling,3.5950436e-07,0
other sequences,3.5950436e-07,0
loop control,3.5950436e-07,0
dynamical problem,3.5950436e-07,0
current queue,3.5950436e-07,0
earlier data,3.5950436e-07,0
other processes,3.5950436e-07,0
log comparisons,3.5950436e-07,0
log Fig,3.5950436e-07,0
other priority,3.5950436e-07,0
Hereby insertions,3.5950436e-07,0
other machines,3.5950436e-07,0
High Bandwidth,3.5950436e-07,0
other levels,3.5950436e-07,0
locality effect,3.5950436e-07,0
point sequence,3.5950436e-07,0
other inputs,3.5950436e-07,0
compiler use,3.5950436e-07,0
main queue,3.5950436e-07,0
low degree,3.5950436e-07,0
different model,3.5950436e-07,0
Many Operations,3.5950436e-07,0
Small Queues,3.5950436e-07,0
main difficulty,3.5950436e-07,0
External memory,3.5950436e-07,0
External heaps,3.5950436e-07,0
External Memory,3.5950436e-07,0
External Heapsort,3.5950436e-07,0
main difference,3.5950436e-07,0
main concern,3.5950436e-07,0
Experimental algorithmics,3.5950436e-07,0
Experimental Study,3.5950436e-07,0
division operations,3.5950436e-07,0
miss memory,3.5950436e-07,0
dlog comparisons,3.5950436e-07,0
Experimental Algorithmics,3.5950436e-07,0
priority data,3.5950436e-07,0
direct cost,3.5950436e-07,0
HEAPSORT,3.5950436e-07,0
Sanders Asynchronous,3.5950436e-07,0
complicated issue,3.5950436e-07,0
complicated index,3.5950436e-07,0
lower order,3.5950436e-07,0
Kristoffer Vinther,3.5950436e-07,0
Sanders Presenting,3.5950436e-07,0
complex index,3.5950436e-07,0
different operation,3.5950436e-07,0
dummy elements,3.5950436e-07,0
current element,3.5950436e-07,0
corresponding amount,3.5950436e-07,0
efficient software,3.5950436e-07,0
same code,3.5950436e-07,0
array indexing,3.5950436e-07,0
high locality,3.5950436e-07,0
User Manual,3.5950436e-07,0
assembler code,3.5950436e-07,0
high throughput,3.5950436e-07,0
higher latency,3.5950436e-07,0
textbook formulation,3.5950436e-07,0
array heap,3.5950436e-07,0
Binary heaps,3.5950436e-07,0
associative caches,3.5950436e-07,0
technological details,3.5950436e-07,0
highest clock,3.5950436e-07,0
Optimizing Graph,3.5950436e-07,0
asymptotic bound,3.5950436e-07,0
hyperbolic form,3.5950436e-07,0
Brodal Andreas,3.5950436e-07,0
template class,3.5950436e-07,0
Basic Experiments,3.5950436e-07,0
high density,3.5950436e-07,0
total size,3.5950436e-07,0
heap prop,3.5950436e-07,0
heap property,3.5950436e-07,0
heap sequence,3.5950436e-07,0
heap size,3.5950436e-07,0
heap sort,3.5950436e-07,0
heaps Simple,3.5950436e-07,0
heaps data,3.5950436e-07,0
RAM,3.5950436e-07,0
BO,3.5950436e-07,0
traditional priority,3.5950436e-07,0
Bader Tandy,3.5950436e-07,0
heuristics improves,3.5950436e-07,0
arbitrary elements,3.5950436e-07,0
arbitrary mix,3.5950436e-07,0
hierarchy prevalent,3.5950436e-07,0
arbitrary sequence,3.5950436e-07,0
Bandwidth Disks,3.5950436e-07,0
Brodal Rolf,3.5950436e-07,0
asymptotic bounds,3.5950436e-07,0
Buffer Tree,3.5950436e-07,0
Buffer search,3.5950436e-07,0
source codes,3.5950436e-07,0
sorting operation,3.5950436e-07,0
sorted sequence,3.5950436e-07,0
smallest elements,3.5950436e-07,0
smallest element,3.5950436e-07,0
smaller one,3.5950436e-07,0
New elements,3.5950436e-07,0
inner node,3.5950436e-07,0
small size,3.5950436e-07,0
small queues,3.5950436e-07,0
batched manner,3.5950436e-07,0
small inputs,3.5950436e-07,0
input size,3.5950436e-07,0
insert buffer,3.5950436e-07,0
slower memories,3.5950436e-07,0
insert deleteMin,3.5950436e-07,0
insert heap,3.5950436e-07,0
basic approach,3.5950436e-07,0
heap level,3.5950436e-07,0
spear data,3.5950436e-07,0
speed gap,3.5950436e-07,0
implementation approach,3.5950436e-07,0
implementations Calendar,3.5950436e-07,0
important aspects,3.5950436e-07,0
Ulrich Meyer,3.5950436e-07,0
effective buffering,3.5950436e-07,0
CC,3.5950436e-07,0
superscalar alpha,3.5950436e-07,0
important observation,3.5950436e-07,0
available data,3.5950436e-07,0
important optimizations,3.5950436e-07,0
improved array,3.5950436e-07,0
studies heaps,3.5950436e-07,0
Cache Performance,3.5950436e-07,0
Tree Accessing,3.5950436e-07,0
index arithmetics,3.5950436e-07,0
index computations,3.5950436e-07,0
spill code,3.5950436e-07,0
special routines,3.5950436e-07,0
heap grows,3.5950436e-07,0
analogous way,3.5950436e-07,0
amortized work,3.5950436e-07,0
Prasanna Optimizing,3.5950436e-07,0
external heapsort,3.5950436e-07,0
external groups,3.5950436e-07,0
following information,3.5950436e-07,0
following observation,3.5950436e-07,0
formal limitation,3.5950436e-07,0
Algorithm Engineering,3.5950436e-07,0
free pages,3.5950436e-07,0
free slot,3.5950436e-07,0
Algorithm Merging,3.5950436e-07,0
freed leaf,3.5950436e-07,0
further comparisons,3.5950436e-07,0
Alpha processor,3.5950436e-07,0
additional charge,3.5950436e-07,0
additional differences,3.5950436e-07,0
general approach,3.5950436e-07,0
general bound,3.5950436e-07,0
way merging,3.5950436e-07,0
additional memory,3.5950436e-07,0
flat memory,3.5950436e-07,0
fixed replacement,3.5950436e-07,0
factor overheads,3.5950436e-07,0
external sequences,3.5950436e-07,0
fast memories,3.5950436e-07,0
fast memory,3.5950436e-07,0
write instructions,3.5950436e-07,0
worst case,3.5950436e-07,0
fast priority,3.5950436e-07,0
few differences,3.5950436e-07,0
few parallel,3.5950436e-07,0
external memory,3.5950436e-07,0
Work External,3.5950436e-07,0
Priority Queues,3.5950436e-07,0
Accessing Multiple,3.5950436e-07,0
Presenting data,3.5950436e-07,0
first level,3.5950436e-07,0
access cost,3.5950436e-07,0
access overhead,3.5950436e-07,0
whereas loop,3.5950436e-07,0
insertion Insert,3.5950436e-07,0
Andreas Crauser,3.5950436e-07,0
additional node,3.5950436e-07,0
algorithmic complications,3.5950436e-07,0
groups suffice,3.5950436e-07,0
algorithms January,3.5950436e-07,0
half century,3.5950436e-07,0
turn elements,3.5950436e-07,0
trees Proceedings,3.5950436e-07,0
tree variant,3.5950436e-07,0
tree information,3.5950436e-07,0
tree data,3.5950436e-07,0
Park Michael,3.5950436e-07,0
Queues Let,3.5950436e-07,0
Associative Caches,3.5950436e-07,0
heap Fig,3.5950436e-07,0
alpha processor,3.5950436e-07,0
heap data,3.5950436e-07,0
amortized execution,3.5950436e-07,0
amortized sense,3.5950436e-07,0
group group,3.5950436e-07,0
Peter Sanders,3.5950436e-07,0
group buffers,3.5950436e-07,0
algorithm designers,3.5950436e-07,0
good measure,3.5950436e-07,0
additional saved,3.5950436e-07,0
useless group,3.5950436e-07,0
usefulness experimen,3.5950436e-07,0
usage patterns,3.5950436e-07,0
additive term,3.5950436e-07,0
address calculations,3.5950436e-07,0
address offsets,3.5950436e-07,0
great care,3.5950436e-07,0
QUICKSORT,3.5950436e-07,0
unpredictable branch,3.5950436e-07,0
unnecessary memory,3.5950436e-07,0
unit memory,3.5950436e-07,0
algorithm Journal,3.5950436e-07,0
execution unit,3.5950436e-07,0
Penner Viktor,3.5950436e-07,0
algorithm design,3.5950436e-07,0
group buffer,3.5950436e-07,0
insertion buffer,3.5950436e-07,0
deletion buffer,3.5950436e-07,0
insertion heap,3.5950436e-07,0
Most machines,3.5950436e-07,0
buffer Fig,3.5950436e-07,0
separate caches,3.5950436e-07,0
Most differences,3.5950436e-07,0
buffer block,3.5950436e-07,0
selection tree,3.5950436e-07,0
buffer blocks,3.5950436e-07,0
similar arguments,3.5950436e-07,0
similar behavior,3.5950436e-07,0
buffer group,3.5950436e-07,0
larger groups,3.5950436e-07,0
Moret David,3.5950436e-07,0
larger sequence,3.5950436e-07,0
binary heaps,3.5950436e-07,0
larger sequences,3.5950436e-07,0
key comparisons,3.5950436e-07,0
similar locality,3.5950436e-07,0
Computational Phylogenetics,3.5950436e-07,0
emptying operation,3.5950436e-07,0
simple case,3.5950436e-07,0
Through Set,3.5950436e-07,0
simple variant,3.5950436e-07,0
simulation event,3.5950436e-07,0
interesting use,3.5950436e-07,0
single array,3.5950436e-07,0
search trees,3.5950436e-07,0
single buffer,3.5950436e-07,0
single cache,3.5950436e-07,0
similar bounds,3.5950436e-07,0
separate sequence,3.5950436e-07,0
Computer Programming,3.5950436e-07,0
sequence buffers,3.5950436e-07,0
empirical comparison,3.5950436e-07,0
kpR memory,3.5950436e-07,0
several architectures,3.5950436e-07,0
Cormen Leiserson,3.5950436e-07,0
Refinements Memory,3.5950436e-07,0
element travels,3.5950436e-07,0
Multiple Sequences,3.5950436e-07,0
Crauser Jyrki,3.5950436e-07,0
large comparison,3.5950436e-07,0
large heaps,3.5950436e-07,0
several places,3.5950436e-07,0
large inputs,3.5950436e-07,0
element suffice,3.5950436e-07,0
severe limit,3.5950436e-07,0
large queues,3.5950436e-07,0
sequential processor,3.5950436e-07,0
shift instruction,3.5950436e-07,0
Reference External,3.5950436e-07,0
invalid group,3.5950436e-07,0
shrinking queue,3.5950436e-07,0
sequential algorithms,3.5950436e-07,0
sequence heaps,3.5950436e-07,0
branch instructions,3.5950436e-07,0
internal work,3.5950436e-07,0
internal memory,3.5950436e-07,0
block cache,3.5950436e-07,0
internal computation,3.5950436e-07,0
sequence heap,3.5950436e-07,0
binary tree,3.5950436e-07,0
search tree,3.5950436e-07,0
single disk,3.5950436e-07,0
binary heap,3.5950436e-07,0
instruction level,3.5950436e-07,0
deletion Buffer,3.5950436e-07,0
instruction schedule,3.5950436e-07,0
skew heap,3.5950436e-07,0
efficient implementations,3.5950436e-07,0
Tandy Warnow,3.5950436e-07,0
efficient way,3.5950436e-07,0
efficient subroutine,3.5950436e-07,0
latter costs,3.5950436e-07,0
integer multiplications,3.5950436e-07,0
size doubles,3.5950436e-07,0
single sequence,3.5950436e-07,0
instruction reads,3.5950436e-07,0
same strategy,3.5950436e-07,0
satisfactory performance,3.5950436e-07,0
single processor,3.5950436e-07,0
instruction counts,3.5950436e-07,0
instruction cache,3.5950436e-07,0
cache faults,3.5950436e-07,0
same setup,3.5950436e-07,0
cache level,3.5950436e-07,0
largest impact,3.5950436e-07,0
instruction scheduler,3.5950436e-07,0
single merge,3.5950436e-07,0
integer keys,3.5950436e-07,0
efficient form,3.5950436e-07,0
cache fault,3.5950436e-07,0
last decade,3.5950436e-07,0
efficient implementation,3.5950436e-07,0
single parameter,3.5950436e-07,0
latter measure,3.5950436e-07,0
Dementiev Peter,3.5950436e-07,0
integer division,3.5950436e-07,0
expected slowdown,3.2306818e-07,0
few reasons,3.2306818e-07,0
large tasks,3.2306818e-07,0
Robin policy,3.2306818e-07,0
more hosts,3.2306818e-07,0
few tasks,3.2306818e-07,0
ffl Sizes,3.2306818e-07,0
fewest number,3.2306818e-07,0
least work,3.2306818e-07,0
James Broberg,3.2306818e-07,0
largest ones,3.2306818e-07,0
Robust Processing,3.2306818e-07,0
hand kills,3.2306818e-07,0
model mean,3.2306818e-07,0
Katehakis Phillip,3.2306818e-07,0
load Outside,3.2306818e-07,0
load Loads,3.2306818e-07,0
kills tasks,3.2306818e-07,0
failure rate,3.2306818e-07,0
Multiprocessor Scheduling,3.2306818e-07,0
model task,3.2306818e-07,0
greater factor,3.2306818e-07,0
Rename Hosts,3.2306818e-07,0
Multiple Hosts,3.2306818e-07,0
destination Host,3.2306818e-07,0
expansion requirement,3.2306818e-07,0
expected number,3.2306818e-07,0
greater flexibility,3.2306818e-07,0
ffl Unix,3.2306818e-07,0
feedback controller,3.2306818e-07,0
Performance Metric,3.2306818e-07,0
Processing Rate,3.2306818e-07,0
moment explodes,3.2306818e-07,0
January Mor,3.2306818e-07,0
necessary background,3.2306818e-07,0
line discipline,3.2306818e-07,0
multiple hosts,3.2306818e-07,0
natural task,3.2306818e-07,0
Job Scheduling,3.2306818e-07,0
larger slowdowns,3.2306818e-07,0
largest fraction,3.2306818e-07,0
first reason,3.2306818e-07,0
natural intuitions,3.2306818e-07,0
exponential task,3.2306818e-07,0
Micha Harchol,3.2306818e-07,0
narrower range,3.2306818e-07,0
multiple resources,3.2306818e-07,0
extensive simulation,3.2306818e-07,0
multiserver queues,3.2306818e-07,0
Jianbin Wei,3.2306818e-07,0
lesser degree,3.2306818e-07,0
Proportional Slowdown,3.2306818e-07,0
Michael Katehakis,3.2306818e-07,0
Prabhakar Fragkiskos,3.2306818e-07,0
multiple servers,3.2306818e-07,0
fixed time,3.2306818e-07,0
following example,3.2306818e-07,0
less variability,3.2306818e-07,0
largest tasks,3.2306818e-07,0
finite lengths,3.2306818e-07,0
file size,3.2306818e-07,0
Previous Work,3.2306818e-07,0
exponential distribution,3.2306818e-07,0
expected work,3.2306818e-07,0
larger fraction,3.2306818e-07,0
QM,3.2306818e-07,0
Section shows,3.2306818e-07,0
final destination,3.2306818e-07,0
general interarrival,3.2306818e-07,0
Psounis Pablo,3.2306818e-07,0
lifetime distributions,3.2306818e-07,0
general good,3.2306818e-07,0
more tasks,3.2306818e-07,0
general conditions,3.2306818e-07,0
most tasks,3.2306818e-07,0
exponent Second,3.2306818e-07,0
finite capacity,3.2306818e-07,0
further improvement,3.2306818e-07,0
Japan Konstantinos,3.2306818e-07,0
further implications,3.2306818e-07,0
PrfProcess Lifetime,3.2306818e-07,0
Previous literature,3.2306818e-07,0
Poisson Process,3.2306818e-07,0
full range,3.2306818e-07,0
full analysis,3.2306818e-07,0
Second Moment,3.2306818e-07,0
Second moment,3.2306818e-07,0
